bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
0.000000000000000000e+00,8.652558033277476524e-01,5.879261382607775532e-01,0.000000000000000000e+00,-6.804826245579327360e-01,-9.656030905604606751e-01,1.177975345333784618e-01,9.999092042625951082e-01,-9.556805508817517447e-01,-5.284214711638799411e-01,8.237700684086803893e-01
1.000000000000000000e+00,5.879261382618780063e-01,9.559454860225882755e-02,0.000000000000000000e+00,3.846036276813599719e-02,-9.656030905604606751e-01,-6.421972761767981153e-01,0.000000000000000000e+00,-6.775075880898742131e-01,-5.879261382619621612e-01,5.879261382624388910e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.110116316444791418e-01,5.807056201122998695e-01,0.000000000000000000e+00,-5.879261382621997489e-01,-6.747243267127560618e-01,9.999092042625951082e-01,-3.161969488647394799e-01,-6.270999620314700040e-01,1.478635589415390195e-01
3.000000000000000000e+00,2.339713160461832225e-02,0.000000000000000000e+00,-5.879261382625088350e-01,5.879261382294169724e-01,3.902272178179684858e-01,1.856706531748816280e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.636630875152566444e-01,0.000000000000000000e+00
4.000000000000000000e+00,-5.318931559528756736e-01,-9.999092042625951082e-01,-7.562946165242373509e-01,7.617514306851957961e-01,9.124576690328257689e-01,5.879261382130345215e-01,0.000000000000000000e+00,3.337788231875167821e-01,7.894303588854840736e-01,-1.478635589415390195e-01
5.000000000000000000e+00,-9.647068003747498732e-01,-9.983877091806593329e-01,6.912627428451246780e-01,-6.356022441044281157e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.879261382619904719e-01,2.481259391024203953e-01,-5.879261382624388910e-01
6.000000000000000000e+00,-9.974714934700491531e-01,-9.363337414901584665e-01,6.912627428451246780e-01,-1.118544688591882746e-01,0.000000000000000000e+00,-7.413067043143772850e-01,0.000000000000000000e+00,9.067369386658536978e-01,0.000000000000000000e+00,-8.237700684086803893e-01
