lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,1.098612288668109560e+00,6.666666666666666297e-01,6.666666666666666297e-01,1.000000000000000000e+00
1.000000000000000000e+00,1.098612288668109560e+00,6.666666666666666297e-01,6.666666666666666297e-01,1.000000000000000000e+00
2.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,1.098612288668109560e+00,6.666666666666666297e-01,6.666666666666666297e-01,1.000000000000000000e+00
8.000000000000000000e+00,1.098612288668109560e+00,6.666666666666666297e-01,6.666666666666666297e-01,1.000000000000000000e+00
9.000000000000000000e+00,1.098612288668109560e+00,6.666666666666666297e-01,6.666666666666666297e-01,1.000000000000000000e+00
