lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,6.931471805599452862e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01
1.000000000000000000e+00,6.931471805599452862e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
2.000000000000000000e+00,6.931471805599452862e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
3.000000000000000000e+00,1.098612288668109560e+00,6.666666666666666297e-01,6.666666666666666297e-01,1.000000000000000000e+00
4.000000000000000000e+00,6.931471805599452862e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000111e-01
5.000000000000000000e+00,6.931471805599452862e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01
6.000000000000000000e+00,4.505612088663046300e-01,1.666666666666666574e-01,1.388888888888888951e-01,4.000000000000000222e-01
7.000000000000000000e+00,1.098612288668109560e+00,6.666666666666666297e-01,6.666666666666666297e-01,4.000000000000000222e-01
8.000000000000000000e+00,6.931471805599452862e-01,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01
9.000000000000000000e+00,6.931471805599452862e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.999999999999999778e-01
