model,intercept,slope,r2
t95 ~ wd,42011.180124223596,-63937.888198757755,0.9530677708390055
t95 ~ 1/wd,4231.156233820162,5270.008258716642,0.9976373410738996
log t95 ~ wd,10.847183542920117,-2.7659034666054976,0.9809861849039739
log t95 ~ 1/wd,9.22583207080963,0.22453432970361534,0.9960869555087918
alignment_mse_norm_t50,,,5.150011836672701e-05
alignment_mse_norm_t95,,,0.00021471642178932983
