model,param_1,param_2,mse
rise_logistic_norm_t50_fitted_t0,12.343957106398715,0.18114050505829873,0.00035069122389562224
shift_wd_0.20,0.8173586289397258,,
shift_wd_0.22,0.818319242392125,,
shift_wd_0.24,0.8143142495017093,,
shift_wd_0.25,0.8134404043827645,,
shift_wd_0.30,0.8135570872429034,,
shift_wd_0.35,0.8113501054087469,,
shift_wd_0.40,0.8129389685475149,,
