theta,fro_error
0.0,0.0
0.1282282715750936,0.21762961474207138
0.2564565431501872,0.43168575722677344
0.38468481472528077,0.6386536315124087
0.5129130863003744,0.8351348308251431
0.6411413578754679,1.017903139304277
0.7693696294505615,1.183957506377486
0.8975979010256552,1.330571323928249
1.0258261726007487,1.4553371971257392
1.1540544441758422,1.5562064737813937
1.2822827157509358,1.6315228831612079
1.4105109873260295,1.6800497319053997
1.538739258901123,1.7009902104991865
1.6669675304762166,1.6940004768629897
1.7951958020513104,1.659195302229873
1.9234240736264039,1.5971461866050725
2.0516523452014974,1.5088719747517059
2.179880616776591,1.395822126787934
2.3081088883516845,1.2598529180918894
2.436337159926778,1.10319695931129
2.5645654315018716,0.9284265369583254
2.6927937030769655,0.7384113765362417
2.821021974652059,0.5362715217259176
2.9492502462271526,0.3253261033548806
3.077478517802246,0.10903883936088202
3.2057067893773397,0.10903883936088087
3.333935060952433,0.3253261033548795
3.4621633325275267,0.5362715217259166
3.5903916041026207,0.7384113765362412
3.7186198756777142,0.9284265369583244
3.8468481472528078,1.103196959311289
3.9750764188279013,1.2598529180918885
4.103304690402995,1.3958221267879332
4.231532961978089,1.5088719747517056
4.359761233553182,1.597146186605072
4.487989505128276,1.659195302229873
4.616217776703369,1.6940004768629895
4.744446048278463,1.7009902104991865
4.872674319853556,1.6800497319054
5.00090259142865,1.6315228831612083
5.129130863003743,1.5562064737813943
5.257359134578837,1.4553371971257398
5.385587406153931,1.330571323928249
5.513815677729024,1.1839575063774872
5.642043949304118,1.0179031393042774
5.770272220879211,0.8351348308251444
5.898500492454305,0.6386536315124096
6.026728764029398,0.43168575722677505
6.154957035604492,0.21762961474207249
6.283185307179586,4.16836607229517e-16
