p,seed,weight_decay,epochs,train_frac,lr,d,h,t_fit,t95,final_train_loss,final_test_loss,final_train_acc,final_test_acc
97,0,0.25,30000,0.3,0.001,128,512,80,24980,2.7732420448955963e-07,0.15891309082508087,1.0,0.9536966681480408
97,0,0.3,30000,0.3,0.001,128,512,80,21760,3.8850734540574194e-07,0.15192751586437225,1.0,0.9544557332992554
97,0,0.35,30000,0.3,0.001,128,512,80,19500,5.790647605863342e-07,0.1478392481803894,1.0,0.9544557332992554
97,0,0.4,30000,0.3,0.001,128,512,80,17440,1.0033090802608058e-06,0.1513814777135849,1.0,0.9562774896621704
