variant_id,arrow_col,arrow_transform,eps,eps_arrow,jump_filter_frac,noise_std,noise_scale,resample_steps,resample_rep,threshold,overall_interval_start,overall_interval_end,overall_interval_len,n_labels
51,v_arrow,rank,1e-12,1e-12,0.0,0.0,rel,True,2,1.0,0.1,1.0,0.9,13
52,v_arrow,rank,1e-12,1e-12,0.0,1e-06,rel,True,0,1.0,0.1,1.0,0.9,13
53,v_arrow,rank,1e-12,1e-12,0.0,1e-06,rel,True,1,1.0,0.1,1.0,0.9,13
54,v_arrow,rank,1e-12,1e-12,0.0,1e-06,rel,True,2,1.0,0.1,1.0,0.9,13
55,v_arrow,rank,1e-12,1e-12,0.1,0.0,rel,True,0,1.0,0.1,1.0,0.9,13
56,v_arrow,rank,1e-12,1e-12,0.1,0.0,rel,True,1,1.0,0.1,1.0,0.9,13
57,v_arrow,rank,1e-12,1e-12,0.1,0.0,rel,True,2,1.0,0.1,1.0,0.9,13
58,v_arrow,rank,1e-12,1e-12,0.1,1e-06,rel,True,0,1.0,0.1,1.0,0.9,13
59,v_arrow,rank,1e-12,1e-12,0.1,1e-06,rel,True,1,1.0,0.1,1.0,0.9,13
60,v_arrow,rank,1e-12,1e-12,0.1,1e-06,rel,True,2,1.0,0.1,1.0,0.9,13
61,v_arrow,rank,1e-12,1e-11,0.0,0.0,rel,True,0,1.0,0.1,1.0,0.9,13
62,v_arrow,rank,1e-12,1e-11,0.0,0.0,rel,True,1,1.0,0.1,1.0,0.9,13
63,v_arrow,rank,1e-12,1e-11,0.0,0.0,rel,True,2,1.0,0.1,1.0,0.9,13
64,v_arrow,rank,1e-12,1e-11,0.0,1e-06,rel,True,0,1.0,0.1,1.0,0.9,13
65,v_arrow,rank,1e-12,1e-11,0.0,1e-06,rel,True,1,1.0,0.1,1.0,0.9,13
66,v_arrow,rank,1e-12,1e-11,0.0,1e-06,rel,True,2,1.0,0.1,1.0,0.9,13
67,v_arrow,rank,1e-12,1e-11,0.1,0.0,rel,True,0,1.0,0.1,1.0,0.9,13
68,v_arrow,rank,1e-12,1e-11,0.1,0.0,rel,True,1,1.0,0.1,1.0,0.9,13
69,v_arrow,rank,1e-12,1e-11,0.1,0.0,rel,True,2,1.0,0.1,1.0,0.9,13
70,v_arrow,rank,1e-12,1e-11,0.1,1e-06,rel,True,0,1.0,0.1,1.0,0.9,13
71,v_arrow,rank,1e-12,1e-11,0.1,1e-06,rel,True,1,1.0,0.1,1.0,0.9,13
