step_from,step_to,r_star,dp,dd,da,sn,sp
8,9,0.20343787520245865,1.1039351672149156,-2.652805243591251,-0.46151478626863707,1.4316687513584094,7.037375660425237
7,8,0.20992174880860767,0.4952568194587972,-1.274127084877402,-0.30904306136313053,0.3407869309971393,1.6233998284181863
9,10,0.2203353634101908,0.3977677811698914,-0.9096332454271492,-0.15522069435621333,0.18231267169324364,0.8274326411863282
10,11,0.2249192198312169,0.05024677753991291,-0.113559955447232,-0.01938527534214529,0.002900527553236283,0.012895863481177317
