variant_id,arrow_col,arrow_transform,forward_mode,two_sided,eps,eps_arrow,jump_filter_frac,noise_std,noise_scale,resample_steps,resample_rep,threshold,overall_interval_start,overall_interval_end,overall_interval_len,n_labels
1,v_depth,identity,order,reverse_edges,1e-12,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0,13
2,v_depth,identity,order,reverse_edges,1e-08,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0,13
3,v_depth,identity,order,reverse_edges,1e-06,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0,13
4,v_depth,identity,order,reverse_edges,0.0001,1e-12,0.0,0.0,abs,False,0,1.0,,,0.0,13
