label,step_from,step_to,dir,dp,dd,da,dp2,dd2,da2,sn,sp,s_star
ptll_76_106_table,8,9,forward,1.1039351672149156,-2.652805243591251,-0.461514786268637,1.2186728534138236,7.037375660425237,0.2129958979445857,1.4316687513584094,7.037375660425237,0.2034378752024586
ptll_76_106_table,7,8,forward,0.4952568194587972,-1.274127084877402,-0.3090430613631305,0.2452793172204436,1.6233998284181863,0.0955076137766956,0.3407869309971393,1.6233998284181863,0.2099217488086076
ptll_76_106_table,9,10,forward,0.3977677811698914,-0.9096332454271492,-0.1552206943562133,0.1582192077368186,0.8274326411863282,0.0240934639564249,0.1823126716932436,0.8274326411863282,0.2203353634101908
ptll_76_106_table,10,11,forward,0.0502467775399129,-0.113559955447232,-0.0193852753421452,0.0025247386531454,0.0128958634811773,0.0003757889000907,0.0029005275532362,0.0128958634811773,0.2249192198312169
z_pt_7tev_atlas,0,1,forward,-0.0316135624767932,-0.1131937350867035,-0.1013611014869679,0.0009994173324741,0.0128128216628788,0.0102740728946514,0.0112734902271255,0.0128128216628788,0.8798600748332402
pTll_76_106,7,8,forward,0.2251703122271395,-1.8770605857230594e-09,-0.5601644331374276,0.0507016695084675,3.5233564424749945e-18,0.3137841921521755,0.364485861660643,3.5233564424749945e-18,1.0344847806672909e+17
z_pt_7tev_atlas,9,10,forward,-0.135035223489071,-1.1622579269529648e-10,0.0305551469109524,0.0182345115827433,1.3508434887650036e-20,0.0009336170027498,0.0191681285854932,1.3508434887650036e-20,1.4189747920403077e+18
ttbar_mtt_8tev_cms,7,8,forward,-0.0614097587419175,-3.534434870269121e-10,-0.6477133121521739,0.0037711584687405,1.24922298521743e-19,0.4195325347391394,0.4233036932078799,1.24922298521743e-19,3.3885358996512783e+18
pTll_50_76,7,8,forward,-0.3788767003978552,-2.3114028813828772e-10,-0.8619708238775594,0.1435475541043661,5.3425832800650684e-20,0.7429937012161586,0.8865412553205247,5.3425832800650684e-20,1.659386871194879e+19
phistar_50_76,8,9,forward,-1.7438646515784768,-6.164378818260911e-10,-1.923613253386468,3.041063923024922,3.79995662150238e-19,3.700287948604071,6.741351871628993,3.79995662150238e-19,1.774060217814718e+19
