label,step_from,step_to,dir,dp,dd,da,dp2,dd2,da2,sn,sp,s_star
atlas_4l_m4l_8tev,0,1,backward,3.4897233978092856e-05,-0.0001420654215434709,-0.0001411700691802409,1.2178169393217585e-09,2.0182583998324085e-08,1.9928988432353997e-08,2.1146805371675756e-08,2.0182583998324085e-08,1.0477749218549883
atlas_4l_m4l_8tev,1,2,backward,-1.43842669277916e-05,-1.4207507494318121e-05,-6.87692625822578e-05,2.069071350499592e-10,2.0185326920110557e-10,4.729211476107522e-09,4.936118611157481e-09,2.0185326920110557e-10,24.453993887211443
atlas_4l_m4l_8tev,2,3,backward,-0.00017927390740624105,-1.4207604542648688e-06,-0.000550573544117583,3.213913387670149e-08,2.0185602684029163e-12,3.031312274821961e-07,3.352703613588976e-07,2.0185602684029163e-12,166093.80785254596
atlas_4l_m4l_8tev,3,4,backward,-0.001710287105558983,-1.4207662471014088e-07,-0.005224576247749191,2.9250819834413238e-06,2.0185767289026215e-14,2.7296196968545015e-05,3.0221278951986338e-05,2.0185767289026215e-14,1497157800.308925
atlas_4l_m4l_8tev,4,5,neutral,-0.011565000746179166,-1.4210823716349315e-08,-0.03475270315716639,0.00013374924225912466,2.0194751069715616e-16,0.0012077503767301226,0.0013414996189892473,2.0194751069715616e-16,6642813344706.103
atlas_4l_m4l_8tev,5,6,neutral,-0.030798562609251512,-1.4261408958738952e-09,-0.06904227781595651,0.0009485514587959853,2.0338778548839963e-18,0.00476683612601572,0.005715387584811706,2.0338778548839963e-18,2810093817132242.0
atlas_4l_m4l_8tev,6,7,neutral,-0.14506124908655682,-1.4363405011031273e-10,-0.14238512978003115,0.02104276598655208,2.0630740351091826e-20,0.020273525182476312,0.041316291169028393,2.0630740351091826e-20,2.002656737756958e+18
atlas_4l_m4l_8tev,7,8,forward,-1.0302828793688712,-1.458553690657215e-11,-1.0692895987556916,1.061482811520612,2.127378868529783e-22,1.143380246007108,2.20486305752772,2.127378868529783e-22,1.0364223740980775e+22
atlas_4l_m4l_8tev,8,9,forward,-2.3732737326371396,-1.7836674301365022e-12,-2.7730646828583216,5.632428210025421,3.1814695013297537e-24,7.689887735316124,13.322315945341545,3.1814695013297537e-24,4.1874724682330723e+24
atlas_4l_m4l_8tev,9,10,forward,-0.9056848203021943,-2.592753059214564e-13,-1.09925185765348,0.8202649937258181,6.722368426066481e-26,1.2083546465546267,2.0286196402804446,6.722368426066481e-26,3.0177156497616552e+25
atlas_4l_m4l_8tev,10,11,forward,-0.11686750425291109,-2.8935633603656577e-14,-0.14266759504628318,0.013658013550304193,8.372708920450597e-28,0.020354042676290245,0.034012056226594437,8.372708920450597e-28,4.062252318782867e+25
atlas_4l_m4l_8tev,11,12,neutral,-0.0120272008545782,-2.9321425735946552e-15,-0.014691399218696501,0.00014465356039636658,8.597460071886288e-30,0.00021583721100311616,0.00036049077139948274,8.597460071886288e-30,4.192991515927923e+25
atlas_4l_pt4l_8tev,0,1,backward,4.581394701830277e-05,-0.00026330339864110076,-0.0004020158181265998,2.098917741395853e-09,6.932867973595442e-08,1.6161671802399937e-07,1.6371563576539523e-07,6.932867973595442e-08,2.361441706216294
atlas_4l_pt4l_8tev,1,2,backward,0.0001065698473645682,-2.633417809563567e-05,-0.0005532750466592518,1.1357132367307365e-08,6.934889359726576e-10,3.061132772557972e-07,3.1747040962310454e-07,6.934889359726576e-10,457.78727410817925
atlas_4l_pt4l_8tev,2,3,backward,0.0010217836634920374,-2.633456280613777e-06,-0.005132412724175417,1.0440418549792091e-06,6.935091981904149e-12,2.6341660371277725e-05,2.7385702226256934e-05,6.935091981904149e-12,3948859.264983781
atlas_4l_pt4l_8tev,3,4,backward,0.009403344680833925,-2.633467646380948e-07,-0.03521928351862247,8.842289118656767e-05,6.93515184453521e-14,0.0012403979315651122,0.0013288208227516798,6.93515184453521e-14,19160659384.82327
atlas_4l_pt4l_8tev,4,5,neutral,0.04972816208793951,-2.6338353381235385e-08,-0.0021985384278506714,0.0024728901046443845,6.937088588348335e-16,4.833571218736102e-06,0.0024777236758631205,6.937088588348335e-16,3571705398176.336
