label,T_iter,beta_dim,fejer_frac_L2,fejer_max_violation_L2,fejer_violation_iter_L2,fejer_frac_L1,fejer_max_violation_L1,fejer_violation_iter_L1,signature,fejer_frac_Q,fejer_max_violation_Q,fejer_violation_iter_Q
pTll_106_170,12,5,0.8333333333333334,0.0009714814818888584,1,1.0,-7.527157351105984e-05,3,++++-,0.75,0.0009878218626599988,1
pTll_170_350,12,5,0.9166666666666666,0.00010595967704141174,1,1.0,-6.663688659003242e-05,2,++++-,0.9166666666666666,0.00011047792116158917,1
pTll_50_76,12,5,0.8333333333333334,0.0004559243526642831,1,1.0,-0.0001053110793680645,3,++++-,0.4166666666666667,0.008735797895193187,6
pTll_76_106,12,5,0.3333333333333333,0.22406426531395685,8,1.0,-0.0001370643820370887,3,++++-,0.3333333333333333,0.47481208381897133,8
phistar_50_76,12,5,0.6666666666666666,0.09546316311548608,1,0.6666666666666666,0.08662669869337591,1,++++-,0.6666666666666666,0.09509522009015825,1
