label,step_from,step_to,dir,dp,dd,da,dp2,dd2,da2,sn,sp,s_star
hgg_pt_8tev_atlas,7,8,forward,-0.5743267795041374,-1.5923804911625637e-13,-0.551103044833174,0.329851249655594,2.5356756286351268e-26,0.3037145660243953,0.6335658156799893,2.5356756286351268e-26,2.4986075053338647e+25
dijet_chi_7tev_cms,9,10,forward,-0.1190476207345851,-3.8670906345196825e-14,-0.1590387935486059,0.0141723360025656,1.4954389975589836e-27,0.025293337853396,0.0394656738559617,1.4954389975589836e-27,2.639069458559115e+25
atlas_4l_m4l_8tev,9,10,forward,-0.9056848203021944,-2.592753059214564e-13,-1.09925185765348,0.8202649937258181,6.722368426066481e-26,1.2083546465546269,2.0286196402804446,6.722368426066481e-26,3.0177156497616552e+25
dijet_chi_7tev_cms,8,9,forward,-0.7411955096923386,-2.1059720773536885e-13,-0.963708209464984,0.5493707835880857,4.4351183905934094e-26,0.9287335129902056,1.4781042965782911,4.4351183905934094e-26,3.332727937349434e+25
dijet_chi_13tev_cms_mgt6,8,9,forward,-0.7132061492428721,-1.8969307894379986e-13,-0.87790013056782,0.5086630113178459,3.5983464199178687e-26,0.7707086392509954,1.2793716505688413,3.5983464199178687e-26,3.5554432543991765e+25
atlas_4l_m4l_8tev,10,11,forward,-0.116867504252911,-2.8935633603656577e-14,-0.1426675950462831,0.0136580135503041,8.372708920450597e-28,0.0203540426762902,0.0340120562265944,8.372708920450597e-28,4.062252318782867e+25
dijet_chi_13tev_cms_mgt6,9,10,forward,-0.1095806568705564,-2.2755159410340688e-14,-0.1397913785077006,0.0120079203601826,5.177972797900164e-28,0.0195416295050832,0.0315495498652658,5.177972797900164e-28,6.093031210604312e+25
ttbar_mtt_8tev_cms,9,10,forward,-0.4878744177477401,-1.5910506190713737e-13,-1.1571185816950456,0.2380214474926964,2.5314420724474012e-26,1.3389234121039535,1.5769448595966502,2.5314420724474012e-26,6.229432925842376e+25
dijet_chi_7tev_cms,7,8,forward,-1.2164823226373844,1.976863523660723e-13,-1.2853684527309712,1.4798292412892455,3.9079893911802886e-26,1.652172059276011,3.1320013005652565,3.9079893911802886e-26,8.0143546644054e+25
hgg_pt_8tev_atlas,8,9,forward,-0.155364411462322,-2.3320277001873213e-14,-0.185183157030514,0.0241381003490336,5.4383531944409665e-28,0.034292801647788,0.0584309019968216,5.4383531944409665e-28,1.0744227141508428e+26
