keep_frac,pos_scale,label,cone_frac
1.0,0.2,atlas_4l_pt4l_8tev,1.0
1.0,0.2,dijet_chi_13tev_cms_mgt6,1.0
1.0,0.2,dijet_chi_7tev_cms,1.0
1.0,0.2,hgg_pt_8tev_atlas,1.0
1.0,0.2,pTll_106_170,1.0
1.0,0.2,pTll_170_350,1.0
1.0,0.2,pTll_50_76,1.0
1.0,0.2,pTll_76_106,1.0
1.0,0.2,phistar_50_76,1.0
1.0,0.2,ptll_76_106_table,1.0
1.0,0.2,ttbar_mtt_8tev_cms,1.0
1.0,0.2,z_pt_7tev_atlas,1.0
1.0,0.21,atlas_4l_m4l_8tev,1.0
1.0,0.21,atlas_4l_pt4l_8tev,1.0
1.0,0.21,dijet_chi_13tev_cms_mgt6,1.0
1.0,0.21,dijet_chi_7tev_cms,1.0
1.0,0.21,hgg_pt_8tev_atlas,1.0
1.0,0.21,pTll_106_170,1.0
1.0,0.21,pTll_170_350,1.0
1.0,0.21,pTll_50_76,1.0
1.0,0.21,pTll_76_106,1.0
1.0,0.21,phistar_50_76,1.0
1.0,0.21,ptll_76_106_table,0.8
1.0,0.21,ttbar_mtt_8tev_cms,1.0
1.0,0.21,z_pt_7tev_atlas,1.0
1.0,0.22,atlas_4l_m4l_8tev,1.0
1.0,0.22,atlas_4l_pt4l_8tev,1.0
1.0,0.22,dijet_chi_13tev_cms_mgt6,1.0
1.0,0.22,dijet_chi_7tev_cms,1.0
1.0,0.22,hgg_pt_8tev_atlas,1.0
1.0,0.22,pTll_106_170,1.0
1.0,0.22,pTll_170_350,1.0
1.0,0.22,pTll_50_76,1.0
1.0,0.22,pTll_76_106,1.0
1.0,0.22,phistar_50_76,1.0
1.0,0.22,ptll_76_106_table,0.8
1.0,0.22,ttbar_mtt_8tev_cms,1.0
1.0,0.22,z_pt_7tev_atlas,1.0
1.0,0.23,atlas_4l_m4l_8tev,1.0
1.0,0.23,atlas_4l_pt4l_8tev,1.0
1.0,0.23,dijet_chi_13tev_cms_mgt6,1.0
1.0,0.23,dijet_chi_7tev_cms,1.0
1.0,0.23,hgg_pt_8tev_atlas,1.0
1.0,0.23,pTll_106_170,1.0
1.0,0.23,pTll_170_350,1.0
1.0,0.23,pTll_50_76,1.0
1.0,0.23,pTll_76_106,1.0
1.0,0.23,phistar_50_76,1.0
1.0,0.23,ptll_76_106_table,0.6
1.0,0.23,ttbar_mtt_8tev_cms,1.0
1.0,0.23,z_pt_7tev_atlas,1.0
1.0,0.24,atlas_4l_m4l_8tev,1.0
1.0,0.24,atlas_4l_pt4l_8tev,1.0
1.0,0.24,dijet_chi_13tev_cms_mgt6,1.0
1.0,0.24,dijet_chi_7tev_cms,1.0
1.0,0.24,hgg_pt_8tev_atlas,1.0
1.0,0.24,pTll_106_170,1.0
1.0,0.24,pTll_170_350,1.0
1.0,0.24,pTll_50_76,1.0
1.0,0.24,pTll_76_106,1.0
1.0,0.24,phistar_50_76,1.0
1.0,0.24,ptll_76_106_table,0.6
1.0,0.24,ttbar_mtt_8tev_cms,1.0
1.0,0.24,z_pt_7tev_atlas,1.0
1.0,0.25,atlas_4l_m4l_8tev,1.0
1.0,0.25,atlas_4l_pt4l_8tev,1.0
1.0,0.25,dijet_chi_13tev_cms_mgt6,1.0
1.0,0.25,dijet_chi_7tev_cms,1.0
1.0,0.25,hgg_pt_8tev_atlas,1.0
1.0,0.25,pTll_106_170,1.0
1.0,0.25,pTll_170_350,1.0
1.0,0.25,pTll_50_76,1.0
1.0,0.25,pTll_76_106,1.0
1.0,0.25,phistar_50_76,1.0
1.0,0.25,ptll_76_106_table,0.6
1.0,0.25,ttbar_mtt_8tev_cms,1.0
1.0,0.25,z_pt_7tev_atlas,1.0
1.0,0.26,atlas_4l_m4l_8tev,1.0
1.0,0.26,atlas_4l_pt4l_8tev,1.0
1.0,0.26,dijet_chi_13tev_cms_mgt6,1.0
1.0,0.26,dijet_chi_7tev_cms,1.0
1.0,0.26,hgg_pt_8tev_atlas,1.0
1.0,0.26,pTll_106_170,1.0
1.0,0.26,pTll_170_350,1.0
1.0,0.26,pTll_50_76,1.0
1.0,0.26,pTll_76_106,1.0
1.0,0.26,phistar_50_76,1.0
1.0,0.26,ptll_76_106_table,0.6
1.0,0.26,ttbar_mtt_8tev_cms,1.0
1.0,0.26,z_pt_7tev_atlas,1.0
1.0,0.27,atlas_4l_m4l_8tev,1.0
1.0,0.27,atlas_4l_pt4l_8tev,1.0
1.0,0.27,dijet_chi_13tev_cms_mgt6,1.0
1.0,0.27,dijet_chi_7tev_cms,1.0
1.0,0.27,hgg_pt_8tev_atlas,1.0
1.0,0.27,pTll_106_170,1.0
1.0,0.27,pTll_170_350,1.0
1.0,0.27,pTll_50_76,1.0
