iter,mean_distance
0,5.743947888459981
1,5.766236672499825
2,5.768835550337926
3,5.771418425985138
4,5.7841057050033795
5,5.7984334088299105
6,5.81022327064206
7,5.92881641481855
8,6.175593701753408
9,6.031896891190742
10,5.2173386092928284
11,4.787514486138185
12,4.401970966406703
