p,seed,weight_decay,epoch,train_loss,test_loss,train_acc,test_acc
97,0,0.25,1,4.54583740234375,4.6063079833984375,0.01984408311545849,0.010930621065199375
97,0,0.25,20,3.5822367668151855,4.940911293029785,0.29872432351112366,0.020343100652098656
97,0,0.25,40,2.392538547515869,6.0230841636657715,0.572643518447876,0.020343100652098656
97,0,0.25,60,1.1464141607284546,7.4981913566589355,0.9734231233596802,0.020343100652098656
97,0,0.25,80,0.34935012459754944,9.047178268432617,1.0,0.020343100652098656
97,0,0.25,100,0.11741609871387482,10.145162582397461,1.0,0.020343100652098656
97,0,0.25,120,0.06103566288948059,10.70725154876709,1.0,0.020343100652098656
97,0,0.25,140,0.041113223880529404,11.007988929748535,1.0,0.020343100652098656
97,0,0.25,160,0.031184310093522072,11.19765567779541,1.0,0.020343100652098656
97,0,0.25,180,0.025159228593111038,11.332601547241211,1.0,0.020343100652098656
97,0,0.25,200,0.021087195724248886,11.434980392456055,1.0,0.020343100652098656
97,0,0.25,220,0.01815117336809635,11.514699935913086,1.0,0.020343100652098656
97,0,0.25,240,0.015936771407723427,11.577672004699707,1.0,0.020343100652098656
97,0,0.25,260,0.014214517548680305,11.627666473388672,1.0,0.020343100652098656
97,0,0.25,280,0.012840315699577332,11.667285919189453,1.0,0.020343100652098656
97,0,0.25,300,0.01172039657831192,11.698630332946777,1.0,0.020343100652098656
97,0,0.25,320,0.010792524553835392,11.723234176635742,1.0,0.020343100652098656
97,0,0.25,340,0.01001272164285183,11.74233341217041,1.0,0.020343100652098656
97,0,0.25,360,0.009348712861537933,11.756794929504395,1.0,0.020343100652098656
97,0,0.25,380,0.008776795119047165,11.767217636108398,1.0,0.020343100652098656
97,0,0.25,400,0.008279416710138321,11.77430248260498,1.0,0.020343100652098656
97,0,0.25,420,0.007842708379030228,11.778593063354492,1.0,0.020343100652098656
97,0,0.25,440,0.007456382270902395,11.78045654296875,1.0,0.020343100652098656
97,0,0.25,460,0.0071119340136647224,11.78020191192627,1.0,0.020343100652098656
97,0,0.25,480,0.006803050171583891,11.778169631958008,1.0,0.020343100652098656
97,0,0.25,500,0.006524276454001665,11.774605751037598,1.0,0.020343100652098656
97,0,0.25,520,0.006271457765251398,11.769732475280762,1.0,0.020343100652098656
97,0,0.25,540,0.006040938198566437,11.763760566711426,1.0,0.020343100652098656
97,0,0.25,560,0.0058297826908528805,11.756861686706543,1.0,0.020343100652098656
97,0,0.25,580,0.005635345820337534,11.749114036560059,1.0,0.020343100652098656
97,0,0.25,600,0.0054558212868869305,11.740696907043457,1.0,0.020343100652098656
97,0,0.25,620,0.0052894833497703075,11.731677055358887,1.0,0.020343100652098656
97,0,0.25,640,0.00513464817777276,11.722189903259277,1.0,0.020343100652098656
97,0,0.25,660,0.004989957436919212,11.712332725524902,1.0,0.020343100652098656
97,0,0.25,680,0.0048545957542955875,11.702094078063965,1.0,0.020343100652098656
97,0,0.25,700,0.004727518185973167,11.691617012023926,1.0,0.020343100652098656
97,0,0.25,720,0.004607821814715862,11.68093490600586,1.0,0.020343100652098656
97,0,0.25,740,0.004494798369705677,11.670167922973633,1.0,0.020343100652098656
97,0,0.25,760,0.004387828055769205,11.659281730651855,1.0,0.020343100652098656
97,0,0.25,780,0.0042862482368946075,11.648265838623047,1.0,0.020343100652098656
97,0,0.25,800,0.004189636092633009,11.637140274047852,1.0,0.020343100652098656
97,0,0.25,820,0.00409757811576128,11.625916481018066,1.0,0.020343100652098656
97,0,0.25,840,0.004009634256362915,11.614628791809082,1.0,0.020343100652098656
97,0,0.25,860,0.003925612196326256,11.60333251953125,1.0,0.020343100652098656
97,0,0.25,880,0.0038451803848147392,11.592044830322266,1.0,0.020343100652098656
97,0,0.25,900,0.003768117865547538,11.580831527709961,1.0,0.020343100652098656
97,0,0.25,920,0.0036943184677511454,11.569632530212402,1.0,0.020343100652098656
97,0,0.25,940,0.003623398719355464,11.55844497680664,1.0,0.020343100652098656
97,0,0.25,960,0.003555066417902708,11.547307014465332,1.0,0.020343100652098656
97,0,0.25,980,0.003489180700853467,11.536242485046387,1.0,0.020343100652098656
97,0,0.25,1000,0.00342554715462029,11.525238037109375,1.0,0.020343100652098656
97,0,0.25,1020,0.00336412712931633,11.51438045501709,1.0,0.020343100652098656
97,0,0.25,1040,0.0033047518227249384,11.50362777709961,1.0,0.020343100652098656
97,0,0.25,1060,0.003247226821258664,11.493006706237793,1.0,0.020343100652098656
97,0,0.25,1080,0.0031915404833853245,11.482462882995605,1.0,0.020343100652098656
97,0,0.25,1100,0.003137609688565135,11.472087860107422,1.0,0.020343100652098656
97,0,0.25,1120,0.003085339441895485,11.461856842041016,1.0,0.020343100652098656
97,0,0.25,1140,0.003034616122022271,11.451743125915527,1.0,0.020343100652098656
97,0,0.25,1160,0.0029853733722120523,11.441773414611816,1.0,0.020343100652098656
97,0,0.25,1180,0.0029375578742474318,11.43194580078125,1.0,0.020343100652098656
97,0,0.25,1200,0.0028910140972584486,11.422261238098145,1.0,0.020343100652098656
97,0,0.25,1220,0.002845657290890813,11.412758827209473,1.0,0.020343100652098656
97,0,0.25,1240,0.002801313530653715,11.403406143188477,1.0,0.020343100652098656
97,0,0.25,1260,0.00275814114138484,11.394208908081055,1.0,0.020343100652098656
97,0,0.25,1280,0.0027160602621734142,11.385160446166992,1.0,0.020343100652098656
97,0,0.25,1300,0.002675059251487255,11.37619400024414,1.0,0.020343100652098656
97,0,0.25,1320,0.0026350633706897497,11.367332458496094,1.0,0.020343100652098656
97,0,0.25,1340,0.0025960158091038465,11.358612060546875,1.0,0.020343100652098656
97,0,0.25,1360,0.002557820873335004,11.3500394821167,1.0,0.020343100652098656
97,0,0.25,1380,0.0025205123238265514,11.341593742370605,1.0,0.020343100652098656
97,0,0.25,1400,0.0024840557016432285,11.333261489868164,1.0,0.020343100652098656
97,0,0.25,1420,0.002448389306664467,11.325066566467285,1.0,0.020343100652098656
97,0,0.25,1440,0.002413440030068159,11.317070960998535,1.0,0.020343100652098656
97,0,0.25,1460,0.0023791841231286526,11.309212684631348,1.0,0.020343100652098656
97,0,0.25,1480,0.002345683751627803,11.301462173461914,1.0,0.020343100652098656
97,0,0.25,1500,0.0023128760512918234,11.293856620788574,1.0,0.020343100652098656
97,0,0.25,1520,0.002280724234879017,11.286328315734863,1.0,0.020343100652098656
97,0,0.25,1540,0.0022492343559861183,11.278956413269043,1.0,0.020343100652098656
97,0,0.25,1560,0.0022183458786457777,11.271732330322266,1.0,0.020343100652098656
97,0,0.25,1580,0.0021881049033254385,11.26468563079834,1.0,0.020343100652098656
97,0,0.25,1600,0.0021584986243396997,11.257691383361816,1.0,0.020343100652098656
97,0,0.25,1620,0.0021295587066560984,11.250753402709961,1.0,0.020343100652098656
97,0,0.25,1640,0.0021011873614042997,11.243929862976074,1.0,0.020343100652098656
97,0,0.25,1660,0.002073362935334444,11.237201690673828,1.0,0.020343100652098656
97,0,0.25,1680,0.002046087058261037,11.230621337890625,1.0,0.020343100652098656
97,0,0.25,1700,0.0020193245727568865,11.22419261932373,1.0,0.020343100652098656
97,0,0.25,1720,0.0019930133130401373,11.217904090881348,1.0,0.020343100652098656
