p,seed,weight_decay,epochs,train_frac,lr,d,h,t_fit,t95,final_train_loss,final_test_loss,final_train_acc,final_test_acc
97,0,0.2,50000,0.3,0.001,128,512,80,30780,2.4712059598641645e-07,0.15077534317970276,1.0,0.9526339769363403
97,0,0.22,50000,0.3,0.001,128,512,80,28400,2.1873339051126095e-07,0.16421253979206085,1.0,0.9518749117851257
97,0,0.24,50000,0.3,0.001,128,512,80,25900,2.5911754164553713e-07,0.15998952090740204,1.0,0.9535448551177979
