label,iter,b0,b1,b2,b3,b4,chi2_dof,odd_even_ratio,R_E_hi,alpha,_tag
pTll_106_170,9,-2.953298024053725,-4.1743350190044884e-12,-2.7997281553233844,-2.749659273947702e-14,0.009198451103455,2873.8007789076764,1.0257926581707676e-12,5.109252358573747e-06,1000.0,
pTll_106_170,10,-0.5903384203061016,-6.525825146269591e-13,-0.7433785536601959,-4.042581308801876e-15,0.000799331484882,8875.033554451818,6.874710847347516e-13,7.090477581833753e-07,10000.0,
pTll_106_170,12,-0.0065420975272689,-7.208375291531558e-15,-0.0091917833316135,-4.6072553173027675e-17,7.973358669079308e-06,11657.195530590032,6.389289331901231e-13,4.994538957898837e-07,1000000.0,
pTll_106_170,12,-0.0065420975272689,-7.208375291531558e-15,-0.0091917833316135,-4.6072553173027675e-17,7.973358669079308e-06,11657.195530590032,6.389289331901231e-13,4.994538957898837e-07,1000000.0,final
pTll_170_350,9,-2.2713899509029964,-1.9846581754141367e-12,-1.7337684651337026,-2.630860259971729e-14,-0.0079013699265159,11415.670826599197,6.946078992514406e-13,7.646097005887334e-06,1000.0,
pTll_170_350,10,-0.3318947195534134,-3.437243348799135e-13,-0.4376507115430526,-5.2911118200350575e-15,-0.0015672248916251,30215.9653155715,6.258609920406199e-13,8.141388648343065e-06,10000.0,
pTll_170_350,12,-0.0034949283915524,-3.833077556787858e-15,-0.0052598309663283,-6.114489951182532e-17,-1.7885838548362748e-05,36633.615515079495,6.070460723741335e-13,8.02157560266866e-06,1000000.0,
pTll_170_350,12,-0.0034949283915524,-3.833077556787858e-15,-0.0052598309663283,-6.114489951182532e-17,-1.7885838548362748e-05,36633.615515079495,6.070460723741335e-13,8.02157560266866e-06,1000000.0,final
pTll_50_76,9,-2.876151887462428,-3.2960475115918604e-12,-2.029426400471717,-9.374110914410048e-15,0.0085249512603386,2798.8288622551822,9.36362259890549e-13,5.865212067002986e-06,1000.0,
pTll_50_76,10,-0.6289718502357993,-4.153665967221411e-13,-0.3874520747318527,5.289699239072031e-16,0.0008426733502093,7130.947270069051,5.622698972851683e-13,1.3012025605025653e-06,10000.0,
pTll_50_76,12,-0.0072801998477716,-4.407407326080879e-15,-0.0042422278706473,9.723102712170884e-18,8.25773747005184e-06,8780.988256653884,5.230721167784433e-13,9.604553988405688e-07,1000000.0,
pTll_50_76,12,-0.0072801998477716,-4.407407326080879e-15,-0.0042422278706473,9.723102712170884e-18,8.25773747005184e-06,8780.988256653884,5.230721167784433e-13,9.604553988405688e-07,1000000.0,final
pTll_76_106,9,-0.0389672451813708,-2.5263592166726974e-11,-5.442187707444265,-4.4431771693678024e-14,0.0629398088353519,4302.092951384616,4.641753603413697e-12,0.0001337462271434,1000.0,
pTll_76_106,10,0.4058437446981155,-3.230632483234273e-12,-2.636838722886705,-1.0549257926261272e-14,0.0106709731552328,7506.446875274594,1.2109292402992494e-12,1.599826157660595e-05,10000.0,
pTll_76_106,12,0.0105198749319924,-3.9356344934084825e-14,-0.0471311557508185,-1.762098709460129e-16,0.0001483927100754,14534.756429088664,8.149885744154092e-13,9.442653460632942e-06,1000000.0,
pTll_76_106,12,0.0105198749319924,-3.9356344934084825e-14,-0.0471311557508185,-1.762098709460129e-16,0.0001483927100754,14534.756429088664,8.149885744154092e-13,9.442653460632942e-06,1000000.0,final
phistar_50_76,9,6.632291375403851,-7.943015207010141e-11,0.5522971761229687,2.6630547514455963e-14,-0.0276068985225178,18953.7622458112,1.1934863665648487e-11,1.72070649676994e-05,1000.0,
phistar_50_76,10,2.178996428951435,-1.048314431101148e-11,0.4025710675956213,3.5379594241048863e-15,-0.0005503534760559,28760.49097185336,4.730934093200364e-12,6.168705998231228e-08,10000.0,
phistar_50_76,12,0.0288558725638054,-1.2820034410616772e-13,0.0215120108345224,2.419734583731516e-17,1.950931444410251e-05,37885.49133124789,3.561906346119336e-12,2.938128188242772e-07,1000000.0,
phistar_50_76,12,0.0288558725638054,-1.2820034410616772e-13,0.0215120108345224,2.419734583731516e-17,1.950931444410251e-05,37885.49133124789,3.561906346119336e-12,2.938128188242772e-07,1000000.0,final
