label,iter,parallelogram_res_mean,parallelogram_res_absmean,parallelogram_res_maxabs
phistar_50_76,0,-9.947598300641402e-15,2.0179413695586844e-14,5.684341886080802e-14
phistar_50_76,1,-2.6432189770275728e-14,2.6432189770275728e-14,1.1368683772161603e-13
phistar_50_76,2,2.2737367544323206e-15,2.1600499167107046e-14,5.684341886080802e-14
phistar_50_76,3,3.9790393202565614e-15,1.5347723092418165e-14,5.684341886080802e-14
phistar_50_76,4,-7.958078640513123e-15,1.5916157281026246e-14,5.684341886080802e-14
phistar_50_76,5,5.115907697472721e-15,3.694822225952521e-14,1.1368683772161603e-13
phistar_50_76,6,8.526512829121202e-16,2.870592652470805e-14,1.1368683772161603e-13
phistar_50_76,7,-2.2737367544323206e-15,2.0463630789890885e-14,5.684341886080802e-14
phistar_50_76,8,1.2221335055073723e-14,2.3590018827235325e-14,1.1368683772161603e-13
phistar_50_76,9,-1.6768808563938364e-14,1.6768808563938364e-14,2.842170943040401e-14
phistar_50_76,10,-1.2789769243681804e-14,1.6768808563938364e-14,5.684341886080802e-14
phistar_50_76,11,-2.842170943040401e-15,2.842170943040401e-15,2.842170943040401e-14
phistar_50_76,12,7.105427357601002e-16,2.1316282072803005e-15,2.842170943040401e-14
