mode,step_from,step_to,r_star,dp,dd,da,sn,sp
none,7,8,0.20992174880860767,0.4952568194587972,-1.274127084877402,-0.30904306136313053,0.3407869309971393,1.6233998284181863
none,8,9,0.20343787520245865,1.1039351672149156,-2.652805243591251,-0.46151478626863707,1.4316687513584094,7.037375660425237
none,9,10,0.2203353634101908,0.3977677811698914,-0.9096332454271492,-0.15522069435621333,0.18231267169324364,0.8274326411863282
none,10,11,0.2249192198312169,0.05024677753991291,-0.113559955447232,-0.01938527534214529,0.002900527553236283,0.012895863481177317
diag,7,8,0.027624331697076076,0.4445556642158829,-3.059071564550109,-0.24673166671965396,0.2585062539486832,9.357918837039053
diag,8,9,0.027552209656220857,0.9909215021991783,-6.369161430816195,-0.36846099028907253,1.1176889248854802,40.5662173317966
diag,9,10,0.029947625588864615,0.3570469162946486,-2.1839526278678636,-0.12392402682967829,0.14283966486120062,4.7696490807709475
diag,10,11,0.030587705708486335,0.0451028409631461,-0.27264786590234896,-0.015476682355818571,0.0022737939596897557,0.07433685878110526
full,7,8,0.1136120361024357,0.6858646580418855,-2.9986852798977055,-0.74242978387306,1.021612313132711,8.99211340787518
full,8,9,0.08467731500072537,1.3000758601270213,-6.2888710998094295,-1.2879371389579926,3.3489793159923136,39.549899710018266
full,9,10,0.10125447170707547,0.4929530180901172,-2.139861380013488,-0.4697256953872471,0.4636449069511883,4.57900672567323
full,10,11,0.10632681615993356,0.06316479418815875,-0.26657299314578664,-0.05971528901661832,0.00755570696717071,0.07106116067470361
