seed,weight_decay,t_fit,t95,final_test_acc,epochs_run
0,0.0,80,,0.020343100652098656,8000
1,0.0,80,,0.01882495917379856,8000
2,0.0,80,,0.020191285759210587,8000
3,0.0,80,,0.020950356498360634,8000
4,0.0,80,,0.020039470866322517,8000
0,0.02,80,,0.020343100652098656,8000
1,0.02,80,,0.01882495917379856,8000
2,0.02,80,,0.020191285759210587,8000
3,0.02,80,,0.020950356498360634,8000
4,0.02,80,,0.020039470866322517,8000
0,0.05,80,,0.020343100652098656,8000
1,0.05,80,,0.01882495917379856,8000
2,0.05,80,,0.020191285759210587,8000
3,0.05,80,,0.020950356498360634,8000
4,0.05,80,,0.020039470866322517,8000
0,0.08,80,,0.020343100652098656,8000
1,0.08,80,,0.01882495917379856,8000
2,0.08,80,,0.020191285759210587,8000
3,0.08,80,,0.020950356498360634,8000
4,0.08,80,,0.020039470866322517,8000
0,0.12,80,,0.020343100652098656,8000
1,0.12,80,,0.01882495917379856,8000
2,0.12,80,,0.020343100652098656,8000
3,0.12,80,,0.021102171391248703,8000
4,0.12,80,,0.020191285759210587,8000
0,0.2,80,,0.020343100652098656,8000
1,0.2,80,,0.01882495917379856,8000
2,0.2,80,,0.020191285759210587,8000
3,0.2,80,,0.021102171391248703,8000
4,0.2,80,,0.020191285759210587,8000
