frequency_cycles_per_sample,constructive_amplitude,negative_destructive_amplitude
0.000000000000,3.800000012237e-04,-1.003546044115e-05
0.000010000000,1.900028487780e-04,-5.017805982464e-06
0.000020000000,1.267936980377e-09,-3.312219010299e-11
0.000030000000,4.762393006135e-10,-1.221415817335e-11
0.000040000000,2.545651509676e-10,-6.359944071532e-12
0.000050000000,1.595620763428e-10,-3.850996774587e-12
0.000060000000,1.097986170947e-10,-2.536788889002e-12
0.000070000000,8.039294510220e-11,-1.760207925837e-12
0.000080000000,6.154315833511e-11,-1.262407169260e-12
0.000090000000,4.872531140511e-11,-9.238955450810e-13
0.000100000000,3.960886766665e-11,-6.831397896614e-13
0.000110000000,3.289148247973e-11,-5.057406350562e-13
0.000120000000,2.779810516837e-11,-3.712274795292e-13
0.000130000000,2.384359185740e-11,-2.667936306918e-13
0.000140000000,2.071164721746e-11,-1.840806642496e-13
0.000150000000,1.818866979013e-11,-1.174531920045e-13
0.000160000000,1.612630890365e-11,-6.299080018539e-14
0.000170000000,1.441872386133e-11,-1.792652449358e-14
0.000180000000,1.298895286550e-11,-1.991154037186e-14
0.000190000000,1.177976161402e-11,-5.182220362903e-14
0.000200000000,1.074799612566e-11,-7.906561390783e-14
0.000210000000,9.860524882409e-12,-1.025020013210e-13
0.000220000000,9.091633996663e-12,-1.228090930755e-13
0.000230000000,8.421102438143e-12,-1.405174769393e-13
0.000240000000,7.832811207955e-12,-1.560531830416e-13
0.000250000000,7.313833537976e-12,-1.697597989637e-13
0.000260000000,6.853718041868e-12,-1.819125472700e-13
0.000270000000,6.443871918946e-12,-1.927361482024e-13
0.000280000000,6.077204820526e-12,-2.024216978384e-13
0.000290000000,5.747893599228e-12,-2.111160737455e-13
0.000300000000,5.451004375607e-12,-2.189604301586e-13
0.000310000000,5.182402316614e-12,-2.260550493187e-13
0.000320000000,4.938650045512e-12,-2.324933717220e-13
0.000330000000,4.716741026235e-12,-2.383556550393e-13
0.000340000000,4.514124812849e-12,-2.437081051435e-13
0.000350000000,4.328666508909e-12,-2.486074741650e-13
0.000360000000,4.158456425418e-12,-2.531048683450e-13
0.000370000000,4.001890785124e-12,-2.572402706587e-13
0.000380000000,3.857510118852e-12,-2.610539846740e-13
0.000390000000,3.724127037864e-12,-2.645798744144e-13
0.000400000000,3.600622264472e-12,-2.678426151488e-13
0.000410000000,3.486042674270e-12,-2.708679302008e-13
0.000420000000,3.379570593937e-12,-2.736824545380e-13
0.000430000000,3.280445136951e-12,-2.763040216626e-13
0.000440000000,3.188009128511e-12,-2.787478271485e-13
0.000450000000,3.101649040708e-12,-2.810303234057e-13
0.000460000000,3.020895900703e-12,-2.831645611646e-13
0.000470000000,2.945234860368e-12,-2.851637008171e-13
0.000480000000,2.874254662430e-12,-2.870407414244e-13
0.000490000000,2.807579167228e-12,-2.888049688629e-13
0.000500000000,2.744869994628e-12,-2.904627051204e-13
0.000510000000,2.685817077741e-12,-2.920275475182e-13
0.000520000000,2.630154215254e-12,-2.934966577428e-13
0.000530000000,2.577604587980e-12,-2.948869419643e-13
0.000540000000,2.527947996718e-12,-2.962002139946e-13
0.000550000000,2.480977803720e-12,-2.974456320658e-13
0.000560000000,2.436510270932e-12,-2.986205163302e-13
0.000570000000,2.394365846556e-12,-2.997367443364e-13
0.000580000000,2.354371992438e-12,-3.007969016262e-13
0.000590000000,2.316401758530e-12,-3.017998591180e-13
0.000600000000,2.280331833072e-12,-3.027552982904e-13
0.000610000000,2.246015894946e-12,-3.036655793978e-13
0.000620000000,2.213345391235e-12,-3.045313006149e-13
0.000630000000,2.182222511675e-12,-3.053551097886e-13
0.000640000000,2.152545905693e-12,-3.061438404034e-13
0.000650000000,2.124225490139e-12,-3.068939185547e-13
0.000660000000,2.097215491424e-12,-3.076088211602e-13
0.000670000000,2.071376439140e-12,-3.082961457318e-13
0.000680000000,2.046682007887e-12,-3.089521448841e-13
0.000690000000,2.023054770627e-12,-3.095794573332e-13
0.000700000000,2.000433127533e-12,-3.101809126883e-13
0.000710000000,1.978770071611e-12,-3.107576764095e-13
0.000720000000,1.957995689885e-12,-3.113057950272e-13
0.000730000000,1.938071860292e-12,-3.118366528587e-13
0.000740000000,1.918973179591e-12,-3.123439935345e-13
0.000750000000,1.900599839548e-12,-3.128369731320e-13
0.000760000000,1.882981105345e-12,-3.132982548180e-13
0.000770000000,1.866021526067e-12,-3.137550195466e-13
0.000780000000,1.849731135424e-12,-3.141878561662e-13
0.000790000000,1.834041468086e-12,-3.146071973029e-13
0.000800000000,1.818962742457e-12,-3.150077659610e-13
0.000810000000,1.804411987400e-12,-3.153980562232e-13
0.000820000000,1.790417437804e-12,-3.157713775624e-13
0.000830000000,1.776915008987e-12,-3.161336679125e-13
0.000840000000,1.763895951172e-12,-3.164821888233e-13
0.000850000000,1.751339469122e-12,-3.168170250688e-13
0.000860000000,1.739205938050e-12,-3.171421997051e-13
0.000870000000,1.727500809994e-12,-3.174538593534e-13
0.000880000000,1.716184323602e-12,-3.177569813129e-13
0.000890000000,1.705263742935e-12,-3.180471824071e-13
0.000900000000,1.694691224187e-12,-3.183330317799e-13
0.000910000000,1.684480754772e-12,-3.186076214454e-13
0.000920000000,1.674621722235e-12,-3.188703888482e-13
0.000930000000,1.665059068752e-12,-3.191316604313e-13
0.000940000000,1.655802478354e-12,-3.193763127612e-13
0.000950000000,1.646841171364e-12,-3.196204469661e-13
0.000960000000,1.638169448954e-12,-3.198546580364e-13
0.000970000000,1.629744953754e-12,-3.200802481321e-13
0.000980000000,1.621598846665e-12,-3.203004298357e-13
0.000990000000,1.613684258100e-12,-3.205140290845e-13
0.001000000000,1.606025336913e-12,-3.207196270899e-13
0.001010000000,1.598581168067e-12,-3.209281438667e-13
0.001020000000,1.591367880820e-12,-3.211154975334e-13
0.001030000000,1.584352036903e-12,-3.213098421342e-13
0.001040000000,1.577548265142e-12,-3.214926966092e-13
0.001050000000,1.570934941788e-12,-3.216751500538e-13
