p,seed,weight_decay,epoch,train_loss,test_loss,train_acc,test_acc
97,0,0.2,1,4.545838832855225,4.606316089630127,0.01984408311545849,0.010930621065199375
97,0,0.2,20,3.5803823471069336,4.942198276519775,0.2983699440956116,0.020343100652098656
97,0,0.2,40,2.3862082958221436,6.030679702758789,0.5747696757316589,0.020343100652098656
97,0,0.2,60,1.1354764699935913,7.5165300369262695,0.9759036302566528,0.020343100652098656
97,0,0.2,80,0.34179848432540894,9.079679489135742,1.0,0.020343100652098656
97,0,0.2,100,0.11407777667045593,10.188803672790527,1.0,0.020343100652098656
97,0,0.2,120,0.0589810386300087,10.763165473937988,1.0,0.020343100652098656
97,0,0.2,140,0.03945164754986763,11.078680992126465,1.0,0.020343100652098656
97,0,0.2,160,0.02969934046268463,11.284026145935059,1.0,0.020343100652098656
97,0,0.2,180,0.02377231977880001,11.43457317352295,1.0,0.020343100652098656
97,0,0.2,200,0.019768670201301575,11.552196502685547,1.0,0.020343100652098656
97,0,0.2,220,0.01688520610332489,11.64677619934082,1.0,0.020343100652098656
97,0,0.2,240,0.014715814962983131,11.724047660827637,1.0,0.020343100652098656
97,0,0.2,260,0.013031373731791973,11.787841796875,1.0,0.020343100652098656
97,0,0.2,280,0.011690379120409489,11.840961456298828,1.0,0.020343100652098656
97,0,0.2,300,0.010600883513689041,11.885305404663086,1.0,0.020343100652098656
97,0,0.2,320,0.009700518101453781,11.922428131103516,1.0,0.020343100652098656
97,0,0.2,340,0.00894533284008503,11.953466415405273,1.0,0.020343100652098656
97,0,0.2,360,0.008303268812596798,11.979374885559082,1.0,0.020343100652098656
97,0,0.2,380,0.00775136798620224,12.000919342041016,1.0,0.020343100652098656
97,0,0.2,400,0.00727239390835166,12.018638610839844,1.0,0.020343100652098656
97,0,0.2,420,0.006853077095001936,12.032998085021973,1.0,0.020343100652098656
97,0,0.2,440,0.006483409088104963,12.044510841369629,1.0,0.020343100652098656
97,0,0.2,460,0.006155033130198717,12.053482055664062,1.0,0.020343100652098656
97,0,0.2,480,0.005861647427082062,12.060280799865723,1.0,0.020343100652098656
97,0,0.2,500,0.005598252639174461,12.065165519714355,1.0,0.020343100652098656
97,0,0.2,520,0.0053604403510689735,12.068300247192383,1.0,0.020343100652098656
97,0,0.2,540,0.005144387949258089,12.06992244720459,1.0,0.020343100652098656
97,0,0.2,560,0.004947287030518055,12.07020378112793,1.0,0.020343100652098656
97,0,0.2,580,0.004766697995364666,12.069267272949219,1.0,0.020343100652098656
97,0,0.2,600,0.004600659944117069,12.067281723022461,1.0,0.020343100652098656
97,0,0.2,620,0.004447299521416426,12.064367294311523,1.0,0.020343100652098656
97,0,0.2,640,0.004304958041757345,12.060673713684082,1.0,0.020343100652098656
97,0,0.2,660,0.0041726743802428246,12.056323051452637,1.0,0.020343100652098656
97,0,0.2,680,0.004049342591315508,12.051346778869629,1.0,0.020343100652098656
97,0,0.2,700,0.003933959640562534,12.045831680297852,1.0,0.020343100652098656
97,0,0.2,720,0.0038258119020611048,12.039844512939453,1.0,0.020343100652098656
97,0,0.2,740,0.003724160371348262,12.033434867858887,1.0,0.020343100652098656
97,0,0.2,760,0.003628325881436467,12.026737213134766,1.0,0.020343100652098656
97,0,0.2,780,0.0035379163455218077,12.019782066345215,1.0,0.020343100652098656
97,0,0.2,800,0.003452480072155595,12.012588500976562,1.0,0.020343100652098656
97,0,0.2,820,0.0033715323079377413,12.005237579345703,1.0,0.020343100652098656
97,0,0.2,840,0.0032944956328719854,11.997750282287598,1.0,0.020343100652098656
97,0,0.2,860,0.0032210673671215773,11.990096092224121,1.0,0.020343100652098656
97,0,0.2,880,0.0031510116532444954,11.982254028320312,1.0,0.020343100652098656
