alpha,pc1,pc2,odd_even,norm
9.999999999999999547e-07,-5.633583237608498218e-01,-5.255893482117662829e-03,0.000000000000000000e+00,2.016167698753818183e+00
1.000000000000000082e-05,-5.633083714400733966e-01,-5.246965678179234260e-03,0.000000000000000000e+00,2.016133682907772062e+00
1.000000000000000048e-04,-5.628090543786687938e-01,-5.157863731242343097e-03,0.000000000000000000e+00,2.015793703521497893e+00
1.000000000000000021e-03,-5.578364031623120889e-01,-4.284162778623631929e-03,0.000000000000000000e+00,2.012411720665260972e+00
1.000000000000000021e-02,-5.100720115924073372e-01,2.971165388902470561e-03,0.000000000000000000e+00,1.980283187291114855e+00
1.000000000000000056e-01,-1.694987439324753542e-01,2.212105242800278815e-02,0.000000000000000000e+00,1.771824348911327007e+00
1.000000000000000000e+00,5.356043030305988051e-01,6.929062887711112673e-03,0.000000000000000000e+00,1.501797141793307588e+00
1.000000000000000000e+01,7.760821768358420192e-01,-3.093134064441165065e-03,0.000000000000000000e+00,1.476947429217182695e+00
1.000000000000000000e+02,8.060621501410675238e-01,-4.423061344310003085e-03,0.000000000000000000e+00,1.476573063816129183e+00
1.000000000000000000e+03,8.091342782592794158e-01,-4.560199625702372750e-03,0.000000000000000000e+00,1.476569148143817678e+00
