alpha,pc1,pc2,odd_even,norm
9.999999999999999547e-07,-6.014937124084391851e-01,-4.025937178321160187e-03,0.000000000000000000e+00,2.626390918996323265e+00
1.000000000000000082e-05,-6.014406418297909562e-01,-4.019102370445996886e-03,0.000000000000000000e+00,2.626361292151965010e+00
1.000000000000000048e-04,-6.009101507276369825e-01,-3.950889098554767609e-03,0.000000000000000000e+00,2.626065185126060353e+00
1.000000000000000021e-03,-5.956266154678288016e-01,-3.282014501068478141e-03,0.000000000000000000e+00,2.623120173278119083e+00
1.000000000000000021e-02,-5.448406940132501930e-01,2.272435362962000466e-03,0.000000000000000000e+00,2.595197291818471808e+00
1.000000000000000056e-01,-1.817097625664632898e-01,1.693387239762858890e-02,0.000000000000000000e+00,2.417361844213215871e+00
1.000000000000000000e+00,5.718008513881204236e-01,5.306702108659668016e-03,0.000000000000000000e+00,2.198679362480704835e+00
1.000000000000000000e+01,8.289388493050854345e-01,-2.364704986865209801e-03,0.000000000000000000e+00,2.179364494253905882e+00
1.000000000000000000e+02,8.609983151879317953e-01,-3.382694737322312906e-03,0.000000000000000000e+00,2.179074667261473142e+00
1.000000000000000000e+03,8.642835611322715605e-01,-3.487666996672376951e-03,0.000000000000000000e+00,2.179071635991160605e+00
