alpha,pc1,pc2,odd_even,norm
9.999999999999999547e-07,-2.972734038004117285e-01,-2.941907488293569323e-03,0.000000000000000000e+00,5.262475568713599117e+00
1.000000000000000082e-05,-2.972470112299708811e-01,-2.936909571868293739e-03,0.000000000000000000e+00,5.262471935529969613e+00
1.000000000000000048e-04,-2.969831949984305108e-01,-2.887028987378543327e-03,0.000000000000000000e+00,5.262435626165824942e+00
1.000000000000000021e-03,-2.943559285605983344e-01,-2.397918363765561695e-03,0.000000000000000000e+00,5.262074765758664618e+00
1.000000000000000021e-02,-2.691244634691369875e-01,1.663715808261681181e-03,0.000000000000000000e+00,5.258676513230564176e+00
1.000000000000000056e-01,-8.934688163058386590e-02,1.238392194909987767e-02,0.000000000000000000e+00,5.237926514056910676e+00
1.000000000000000000e+00,2.826358301660699124e-01,3.878601562255334922e-03,0.000000000000000000e+00,5.214388462786870626e+00
1.000000000000000000e+01,4.094825701299672494e-01,-1.732205082893067960e-03,0.000000000000000000e+00,5.212412828554475297e+00
1.000000000000000000e+02,4.252960201264397444e-01,-2.476747388237297842e-03,0.000000000000000000e+00,5.212383311926572560e+00
1.000000000000000000e+03,4.269164632666549442e-01,-2.553522437180495708e-03,0.000000000000000000e+00,5.212383003236570111e+00
