label,p,q,z,fejer_frac_Q,max_violation_Q,argmax_iter_Q,use_abs
pTll_106_170,0,0,5,1.0,0.0,1,False
pTll_106_170,0,1,4,0.16666666666666666,14.428481122189712,9,False
pTll_106_170,0,2,3,0.16666666666666666,14.428481122189712,9,False
pTll_106_170,0,3,2,0.16666666666666666,22.19286202346755,9,False
pTll_106_170,0,4,1,0.16666666666666666,22.19286202346755,9,False
pTll_106_170,0,5,0,0.16666666666666666,22.20201482260922,9,False
pTll_106_170,1,0,4,0.8333333333333334,0.00932247179285639,1,False
pTll_106_170,1,1,3,0.8333333333333334,0.009327424383798189,1,False
pTll_106_170,1,2,2,0.6666666666666666,0.2002201983141812,11,False
pTll_106_170,1,3,1,0.6666666666666666,0.2002201983141812,11,False
pTll_106_170,1,4,0,0.6666666666666666,0.20022083089984105,11,False
pTll_106_170,2,0,3,0.8333333333333334,0.009317519201914592,1,False
pTll_106_170,2,1,2,0.6666666666666666,0.2002201983141812,11,False
pTll_106_170,2,2,1,0.6666666666666666,0.2002201983141812,11,False
pTll_106_170,2,3,0,0.6666666666666666,0.20022083089984105,11,False
pTll_106_170,3,0,2,0.8333333333333334,0.013174564969268943,1,False
pTll_106_170,3,1,1,0.8333333333333334,0.0131745660367244,1,False
pTll_106_170,3,2,0,0.75,0.013186048134123496,1,False
pTll_106_170,4,0,1,0.8333333333333334,0.013174563901813485,1,False
pTll_106_170,4,1,0,0.75,0.013186045999212581,1,False
pTll_106_170,5,0,0,0.8333333333333334,0.01316308180441439,1,False
pTll_170_350,0,0,5,1.0,0.0,1,False
pTll_170_350,0,1,4,0.08333333333333333,24.576361408744056,9,False
pTll_170_350,0,2,3,0.08333333333333333,24.576361408744056,9,False
pTll_170_350,0,3,2,0.08333333333333333,27.6757038875193,9,False
pTll_170_350,0,4,1,0.08333333333333333,27.6757038875193,9,False
pTll_170_350,0,5,0,0.08333333333333333,27.675747993109084,9,False
pTll_170_350,1,0,4,0.9166666666666666,0.0012422552633921669,1,False
pTll_170_350,1,1,3,0.9166666666666666,0.0012423122234110906,1,False
pTll_170_350,1,2,2,0.75,0.07992606167575934,11,False
pTll_170_350,1,3,1,0.75,0.07992606167575934,11,False
pTll_170_350,1,4,0,0.75,0.07992848670663662,11,False
pTll_170_350,2,0,3,0.9166666666666666,0.001242198303373243,1,False
pTll_170_350,2,1,2,0.75,0.07992606167575934,11,False
pTll_170_350,2,2,1,0.75,0.07992606167575934,11,False
pTll_170_350,2,3,0,0.75,0.07992848670663662,11,False
pTll_170_350,3,0,2,0.9166666666666666,0.0015753882219584625,1,False
pTll_170_350,3,1,1,0.9166666666666666,0.0015753882408802156,1,False
pTll_170_350,3,2,0,0.9166666666666666,0.0016054714979958362,1,False
pTll_170_350,4,0,1,0.9166666666666666,0.0015753882030367095,1,False
pTll_170_350,4,1,0,0.9166666666666666,0.0016054714601523301,1,False
pTll_170_350,5,0,0,0.9166666666666666,0.0015453049459210888,1,False
pTll_50_76,0,0,5,1.0,0.0,1,False
pTll_50_76,0,1,4,0.16666666666666666,12.39693974030629,9,False
pTll_50_76,0,2,3,0.16666666666666666,12.39693974030629,9,False
pTll_50_76,0,3,2,0.25,19.800351983609133,9,False
pTll_50_76,0,4,1,0.25,19.800351983609133,9,False
pTll_50_76,0,5,0,0.16666666666666666,19.80624356308386,9,False
pTll_50_76,1,0,4,0.8333333333333334,0.006050827064338904,1,False
pTll_50_76,1,1,3,0.8333333333333334,0.006057244995080424,1,False
pTll_50_76,1,2,2,0.8333333333333334,0.006579119713622461,1,False
pTll_50_76,1,3,1,0.8333333333333334,0.006579120114846404,1,False
pTll_50_76,1,4,0,0.8333333333333334,0.0065015680072999515,1,False
pTll_50_76,2,0,3,0.8333333333333334,0.006044409133597384,1,False
pTll_50_76,2,1,2,0.8333333333333334,0.006566283852139421,1,False
pTll_50_76,2,2,1,0.8333333333333334,0.006566284253363364,1,False
pTll_50_76,2,3,0,0.8333333333333334,0.006488732145816911,1,False
pTll_50_76,3,0,2,0.75,0.005522534415057123,1,False
pTll_50_76,3,1,1,0.75,0.00552253481627929,1,False
pTll_50_76,3,2,0,0.4166666666666667,0.10477912311065296,6,False
pTll_50_76,4,0,1,0.75,0.005522534013834957,1,False
pTll_50_76,4,1,0,0.4166666666666667,0.10477912311065296,6,False
pTll_50_76,5,0,0,0.8333333333333334,0.00560008612137608,1,False
pTll_76_106,0,0,5,1.0,0.0,1,False
pTll_76_106,0,1,4,0.4166666666666667,0.2078826159309363,9,False
pTll_76_106,0,2,3,0.4166666666666667,0.2078826159309363,9,False
pTll_76_106,0,3,2,0.6666666666666666,22.501297893629108,10,False
pTll_76_106,0,4,1,0.6666666666666666,22.501297893629108,10,False
pTll_76_106,0,5,0,0.6666666666666666,22.50514544349726,10,False
pTll_76_106,1,0,4,0.5833333333333334,0.1631906989135641,10,False
pTll_76_106,1,1,3,0.5833333333333334,0.1631906989135641,10,False
pTll_76_106,1,2,2,0.6666666666666666,22.827679291456235,10,False
pTll_76_106,1,3,1,0.6666666666666666,22.827679291456235,10,False
pTll_76_106,1,4,0,0.6666666666666666,22.83152684132439,10,False
pTll_76_106,2,0,3,0.5833333333333334,0.1631906989135641,10,False
pTll_76_106,2,1,2,0.6666666666666666,22.827679291456235,10,False
pTll_76_106,2,2,1,0.6666666666666666,22.827679291456235,10,False
pTll_76_106,2,3,0,0.6666666666666666,22.83152684132439,10,False
pTll_76_106,3,0,2,0.3333333333333333,4.064612113961196,8,False
pTll_76_106,3,1,1,0.3333333333333333,4.064612113961196,8,False
pTll_76_106,3,2,0,0.3333333333333333,5.464167191120637,8,False
pTll_76_106,4,0,1,0.3333333333333333,4.064612113961196,8,False
pTll_76_106,4,1,0,0.3333333333333333,5.464167191120637,8,False
pTll_76_106,5,0,0,0.3333333333333333,2.6650570368017554,8,False
phistar_50_76,0,0,5,1.0,0.0,1,False
phistar_50_76,0,1,4,0.3333333333333333,39.239263450873196,10,False
phistar_50_76,0,2,3,0.3333333333333333,39.239263450873196,10,False
phistar_50_76,0,3,2,0.3333333333333333,39.382232157161525,10,False
phistar_50_76,0,4,1,0.3333333333333333,39.382232157161525,10,False
phistar_50_76,0,5,0,0.3333333333333333,39.38299399511861,10,False
phistar_50_76,1,0,4,0.6666666666666666,1.5932417368830443,1,False
phistar_50_76,1,1,3,0.6666666666666666,1.5976036334370747,1,False
phistar_50_76,1,2,2,0.6666666666666666,1.542466010696529,1,False
phistar_50_76,1,3,1,0.6666666666666666,1.5424660110666935,1,False
