iter,n,best_deg_BIC,best_BIC,best_chi2dof,E0,E1,E2,E3,E4,R_E_hi,odd_even_raw,odd_even_evenproj,c3_over_c2_med,c3_over_c2_q10,c3_over_c2_q90,c4_over_c2_med,c4_over_c2_q10,c4_over_c2_q90,H_cond,H_eig_min,H_eig_med,H_eig_max
0,12,4,591.542051391882,82.73107402042028,20.654953036238105,4.789884021002757,11.044894509298194,0.6059365594517605,1.148292508732525,0.04807459504012517,0.405296971212772,1.295654491953129e-09,0.0003121975939814483,2.8183383590087988e-05,0.0009326911512235346,13.923556415893465,3.1400434145951768,39.155523963403745,10.950048838818363,791.1171184127445,3882.603547369026,8662.771083844802
1,12,4,2075.8317092738157,294.77245371783937,17.674535236379274,6.744818635067461,12.520205006812994,0.0027652158214427,0.17062888442263843,0.004693994880001806,0.47139488159532966,4.320346321795206e-11,0.0064992979145417585,0.0006681687667848019,0.020499575522073342,378.69543032816506,38.82324978848707,2667.9801012169232,456.8026519858423,1078.7837664277993,5922.164657769639,492791.2854234942
2,12,4,3687.75762331279,525.0475842948357,17.60214450297631,7.6540407896907094,12.50326287703018,0.0016039586299920775,0.1327626117925647,0.003558488720986802,0.5031681396917456,2.255490351874513e-09,0.0033925724488219136,0.00042405797759674323,0.019623389484202475,181.13249662284187,30.813526736958195,1014.4037585917185,118926.89599399555,1109.0092282618634,5791.477643730858,131891025.14587991
3,6,4,625.9979367607997,617.0391394146594,15.633607298521738,5.773545718683947,6.736062898387425,0.0227028337308323,0.39626692115896495,0.01488706038948615,0.5045808154039478,0.010376507451769629,0.0019463277303507932,0.00024753852328803595,0.004653029583847697,115.08471909329691,37.18123194718656,419.059405000952,53.883194792409554,991.2489857566319,5610.918413614051,53411.662187303
4,6,4,323.12437369924453,314.16557635310426,21.63416478984335,3.223542736033204,5.81636649899885,0.00036805118216627766,0.17643245378137531,0.005763841634474702,0.3416055585467691,0.0016352550604735515,0.00037209847215569883,0.00010654627305401063,0.0010496904980941378,8.227224228801319,2.1037284101432876,30.731439582628695,9524.531737426089,424.71278826308736,8097.424554813187,4045190.431102502
5,6,4,153.61923240893114,144.66043506279087,23.86240345063344,3.4620266378602187,4.1716677242424876,8.998953916560112e-07,0.08035063141340268,0.002551158298609927,0.35091398848220057,0.0005526984286165841,0.0002476719215697476,2.0005444783768047e-05,0.0013684771090610934,8.72544157762265,1.1659453882738953,63.93214879555544,607512.2341456945,494.3892352232272,13070.05661267491,300347508.82804406
6,6,4,15.10548307079117,6.1466857246508955,28.655522453265945,2.722511374451031,2.8918021042476867,1.591484772626172e-07,0.035100878741797625,0.0010242546232190715,0.293604105716392,8.861140362429094e-05,2.2885794084527724e-06,4.577691557138162e-07,1.8413336503474643e-05,0.2103919809702692,0.044258000993523006,1.9255072897423187,41749944.63780332,424.14086783148423,19832.91971328658,17707857750.594322
7,6,4,89.33325050515181,80.37445315901154,32.97096523383317,2.3077883156872385,1.9009574013398094,7.22340213850887e-11,0.016973033387212642,0.00045651332475067305,0.2571901747842708,1.1880980556026029e-05,7.656214220760872e-06,6.799511735107687e-07,0.00027057065369952,0.48288329337149427,0.13715930725857262,11.036879351128778,2752775245.826453,414.12717951227523,33516.49725203903,1139999048385.319
8,6,4,486.5885572178838,477.62975987174354,36.17451779331572,2.13983416457828,1.1666333829377658,7.704992963253886e-07,0.008563450240009327,0.000216920136753735,0.23935719834133118,1.4594151413540118e-06,5.157989290786887e-05,1.4455828004374242e-05,0.0005815491851420822,2.4107605885602874,0.22741275154373175,78.71213919770474,155109285163.7766,392.0093286931583,56258.52408165359,60804286751127.73
9,6,4,1352.8121390716974,1343.8533417255571,37.70402220283419,2.1978703612574453,0.6398538993129597,4.926951720383599e-07,0.0041885834628443185,0.00010332747164204098,0.23940287374962527,1.5519327665014572e-07,1.6375953461938744e-05,4.078169874373312e-06,0.00036349136706323817,1.0634950001950376,0.2981791595472959,6.438610155034873,1196905442235.1597,378.9840023774954,102915.83026789095,453608014965686.94
10,6,4,2629.6441621156864,2620.685364769546,36.62077962507636,2.6725646131823075,0.31190574769377255,3.2330362684912984e-07,0.0019119117812502733,4.828236371580342e-05,0.2689970077745665,6.012091869629836e-09,1.3373642411255965e-05,2.3608712235075193e-06,0.00010867299957919075,0.3725941930167268,0.11618057831923792,6.818064274462218,1350243401912.9922,372.3268981544212,197710.71869245588,502731937587737.8
