iter,n,best_deg_BIC,best_BIC,best_chi2dof,E0,E1,E2,E3,E4,R_E_hi,odd_even_raw,odd_even_evenproj,c3_over_c2_med,c3_over_c2_q10,c3_over_c2_q90,c4_over_c2_med,c4_over_c2_q10,c4_over_c2_q90,H_cond,H_eig_min,H_eig_med,H_eig_max
0,12,4,323.4241669995387,44.42851910722839,18.39020224602609,9.182329608728608,12.779819261128948,0.13590170267260665,0.7058331030925077,0.02085962236370824,0.5406744222508975,8.098071217768038e-10,0.000251306457352236,8.460137747944905e-05,0.0005671303482260187,25.95847894541305,5.984078677420399,49.85631500855728,7.363779486391129,987.2932580260884,3075.317634563656,7270.209840504775
1,12,4,962.9492746414478,135.78924877035826,17.84227077536834,10.141637539655285,14.036901389548612,0.004227927147011784,0.19420049748166307,0.0047221466226787,0.5624348649523979,1.3337745484394612e-10,0.0010962748109727748,9.084692833919179e-05,0.004934490273909832,35.515802748424704,6.61569610281046,207.75529838542673,300.1156375783728,1369.0270362736055,5982.224513219989,410866.42185328325
2,12,4,2237.873108520395,317.92122503877926,18.37616114704029,10.758540753155064,14.110123918493189,0.0011543980259319374,0.14979216914774568,0.0034905116234377697,0.5741838953901834,2.2351755744792364e-09,0.001997122845887672,0.00019595640367657904,0.0505584731647921,147.6557030276016,23.092298577146796,2232.5257678280364,80100.9980833665,1374.9785681888375,5944.808312054384,110137155.6551641
3,6,4,169.03106344406322,160.07226609792295,15.826876666520798,7.291248529019195,7.7708755318213125,0.0005365568444178403,0.3306689187307041,0.01072244060267483,0.552026476951994,0.009222991591855988,0.0008016492163414454,0.00018014577913716764,0.0019595838669695127,69.90378743019212,9.425371550578708,191.57453033956938,26.183065370803654,1439.6496535250008,5889.192888732216,37694.440989299925
4,6,4,23.878825669827762,14.920028323687486,20.143052127874164,5.757263934901279,5.968485096609257,2.9839858392001133e-05,0.18351583533614363,0.005759415745718427,0.4679206046278191,0.0008521453424355539,1.2202454685095326e-05,1.6966213363802563e-06,3.670155320646837e-05,0.6109790009445113,0.13064792339610234,3.182142358531768,6226.7240071278775,662.5702951909592,7840.815603916396,4125642.36347535
5,6,4,18.410024899083886,9.451227552943614,23.76033240656202,5.449842246706638,4.286672364923067,2.516769804190804e-07,0.08256422996630003,0.002464843380585588,0.4401598617401257,0.00031855203258607473,6.541444937847717e-06,9.925276422175095e-07,4.0990120863232006e-05,0.30800845722820436,0.06383726173602036,2.5731524345050465,361781.9655747227,812.9696183443184,12287.319470918601,294117746.47713965
6,6,4,144.20828526385276,135.2494879177125,27.861518971099187,5.111910624035864,2.94093337843791,6.583362204206668e-08,0.035676052805344576,0.000993366321580515,0.40714360960021945,5.188670525492003e-05,5.66068012953449e-05,8.02621383905671e-06,0.0018028701948492026,1.864249949754972,0.3698437129974269,38.09705784241337,25512117.4735518,709.5473298564925,18007.108225304903,18102054832.343845
7,6,4,530.8150072936253,521.856209947485,32.516149302833725,4.4222692520015565,1.8897262634278096,4.969849586498963e-09,0.01687209751467273,0.0004345327999442809,0.35842626299559316,6.97591740977376e-06,0.0001285315207551045,2.6478857154715993e-05,0.004352263009839829,8.139551068982815,0.4870823736144191,165.121691209487,1607366282.9965746,709.582976979545,31049.18374521893,1140559752185.2554
8,6,4,1238.991092557284,1230.0322952111437,36.16038215072235,3.9453790642990683,1.1370756977411252,7.522385956733308e-07,0.00834619858497737,0.00020238546735348091,0.32520424571098205,8.576267990200002e-07,0.00020439328612570763,4.4729691010006436e-05,0.003382254696297173,6.32399497251697,1.8641048978160424,145.12797503529632,94567359910.32088,671.6972964632931,52859.99047609819,63520639985433.74
9,6,4,2408.63288700089,2399.67408965475,38.381659569027335,3.363569183571704,0.59815504128451,4.700987337440418e-07,0.003915544193706707,9.24823181704723e-05,0.2937369064504329,9.131811577153327e-08,0.00042192893394861546,5.628915687200616e-05,0.0025012831883595107,27.62937209412368,6.713362349843864,171.31877328406117,915671795540.8251,641.9375759207346,99390.68516384048,587804132768463.8
10,6,4,3899.974569641732,3891.015772295592,38.20067157028689,2.9757354636688493,0.2760558578251914,2.826855982642478e-07,0.0016921663864346893,4.082867347234237e-05,0.2780920463813826,3.3209274863843346e-09,0.00025264228467153686,2.0317026035590112e-05,0.0020954731524937768,14.343487742235055,3.4909056853874127,118.06231435434579,1100302162970.9797,613.9917085578013,195712.17871020507,675576404972396.2
