alpha,odd_even_raw,odd_even_evenproj,odd_even_contracted,norm_raw,norm_contracted
9.999999999999999547e-07,3.016608988536988445e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.848282651705551061e+00,2.626390918996323265e+00
1.000000000000000082e-05,3.016608988536988445e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.848282651705551061e+00,2.626361292151965010e+00
1.000000000000000048e-04,3.016608988536988445e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.848282651705551061e+00,2.626065185126060353e+00
1.000000000000000021e-03,3.016608988536988445e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.848282651705551061e+00,2.623120173278119083e+00
1.000000000000000021e-02,3.016608988536988445e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.848282651705551061e+00,2.595197291818471808e+00
1.000000000000000056e-01,3.016608988536988445e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.848282651705551061e+00,2.417361844213215871e+00
1.000000000000000000e+00,3.016608988536988445e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.848282651705551061e+00,2.198679362480704835e+00
1.000000000000000000e+01,3.016608988536988445e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.848282651705551061e+00,2.179364494253905882e+00
1.000000000000000000e+02,3.016608988536988445e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.848282651705551061e+00,2.179074667261473142e+00
1.000000000000000000e+03,3.016608988536988445e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.848282651705551061e+00,2.179071635991160605e+00
