alpha,odd_even_raw,odd_even_evenproj,odd_even_contracted,norm_raw,norm_contracted
9.999999999999999547e-07,2.585557357749813656e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.141022844682611836e+00,2.016167698753818183e+00
1.000000000000000082e-05,2.585557357749813656e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.141022844682611836e+00,2.016133682907772062e+00
1.000000000000000048e-04,2.585557357749813656e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.141022844682611836e+00,2.015793703521497893e+00
1.000000000000000021e-03,2.585557357749813656e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.141022844682611836e+00,2.012411720665260972e+00
1.000000000000000021e-02,2.585557357749813656e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.141022844682611836e+00,1.980283187291114855e+00
1.000000000000000056e-01,2.585557357749813656e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.141022844682611836e+00,1.771824348911327007e+00
1.000000000000000000e+00,2.585557357749813656e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.141022844682611836e+00,1.501797141793307588e+00
1.000000000000000000e+01,2.585557357749813656e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.141022844682611836e+00,1.476947429217182695e+00
1.000000000000000000e+02,2.585557357749813656e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.141022844682611836e+00,1.476573063816129183e+00
1.000000000000000000e+03,2.585557357749813656e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.141022844682611836e+00,1.476569148143817678e+00
