label,signature_name,fejer_set_frac,worst_violation,fejer_mean,fejer_min,worst_max,n_labels
pTll_106_170,"all_pos_(5,0)",1.0,0.0,1.0,1.0,0.0,5
pTll_106_170,"one_neg_(4,1)_b4",0.8973858173076923,8.853445324479015e-05,0.8907451923076923,0.8402944711538461,0.04395569072488293,5
pTll_106_170,"one_neg_(4,1)_b0",0.7944711538461539,0.00021320174488124316,0.8057091346153846,0.7219050480769231,0.0466091454412743,5
pTll_106_170,"two_neg_(3,2)",0.8973858173076923,8.849623720677546e-05,0.8907451923076923,0.8402944711538461,0.04395567747281158,5
pTll_106_170,"split_(2,2)_+0",0.8324819711538461,0.00011588180498580541,0.8056490384615385,0.6729266826923077,0.03533951991661795,5
pTll_106_170,"three_neg_(2,3)",0.7635216346153846,2.8570732338514815e-05,0.729657451923077,0.5709134615384616,0.028797611448688,5
pTll_170_350,"all_pos_(5,0)",1.0,0.0,1.0,1.0,0.0,5
pTll_170_350,"one_neg_(4,1)_b4",0.9245793269230769,5.716826277993303e-07,0.8907451923076923,0.8402944711538461,0.04395569072488293,5
pTll_170_350,"one_neg_(4,1)_b0",0.8143028846153846,2.6793962574871155e-06,0.8057091346153846,0.7219050480769231,0.0466091454412743,5
pTll_170_350,"two_neg_(3,2)",0.9245793269230769,5.713029392617752e-07,0.8907451923076923,0.8402944711538461,0.04395567747281158,5
pTll_170_350,"split_(2,2)_+0",0.8737980769230769,1.3252566409549527e-06,0.8056490384615385,0.6729266826923077,0.03533951991661795,5
pTll_170_350,"three_neg_(2,3)",0.8207632211538461,2.165093821736991e-06,0.729657451923077,0.5709134615384616,0.028797611448688,5
pTll_50_76,"all_pos_(5,0)",1.0,0.0,1.0,1.0,0.0,5
pTll_50_76,"one_neg_(4,1)_b4",0.904296875,4.46747844247003e-05,0.8907451923076923,0.8402944711538461,0.04395569072488293,5
pTll_50_76,"one_neg_(4,1)_b0",0.7884615384615384,5.9020373410621774e-05,0.8057091346153846,0.7219050480769231,0.0466091454412743,5
pTll_50_76,"two_neg_(3,2)",0.904296875,4.4669197277566464e-05,0.8907451923076923,0.8402944711538461,0.04395567747281158,5
pTll_50_76,"split_(2,2)_+0",0.8478064903846154,7.031669511473743e-05,0.8056490384615385,0.6729266826923077,0.03533951991661795,5
pTll_50_76,"three_neg_(2,3)",0.7686298076923077,0.00010771569717630408,0.729657451923077,0.5709134615384616,0.028797611448688,5
pTll_76_106,"all_pos_(5,0)",1.0,0.0,1.0,1.0,0.0,5
pTll_76_106,"one_neg_(4,1)_b4",0.8402944711538461,0.005266829303687687,0.8907451923076923,0.8402944711538461,0.04395569072488293,5
pTll_76_106,"one_neg_(4,1)_b0",0.9094050480769231,0.004186689386489827,0.8057091346153846,0.7219050480769231,0.0466091454412743,5
pTll_76_106,"two_neg_(3,2)",0.8402944711538461,0.0052667550275668495,0.8907451923076923,0.8402944711538461,0.04395567747281158,5
pTll_76_106,"split_(2,2)_+0",0.6729266826923077,0.01500468968223268,0.8056490384615385,0.6729266826923077,0.03533951991661795,5
pTll_76_106,"three_neg_(2,3)",0.5709134615384616,0.0034443276528741476,0.729657451923077,0.5709134615384616,0.028797611448688,5
phistar_50_76,"all_pos_(5,0)",1.0,0.0,1.0,1.0,0.0,5
phistar_50_76,"one_neg_(4,1)_b4",0.8871694711538461,0.04395569072488293,0.8907451923076923,0.8402944711538461,0.04395569072488293,5
phistar_50_76,"one_neg_(4,1)_b0",0.7219050480769231,0.0466091454412743,0.8057091346153846,0.7219050480769231,0.0466091454412743,5
phistar_50_76,"two_neg_(3,2)",0.8871694711538461,0.04395567747281158,0.8907451923076923,0.8402944711538461,0.04395567747281158,5
phistar_50_76,"split_(2,2)_+0",0.8012319711538461,0.03533951991661795,0.8056490384615385,0.6729266826923077,0.03533951991661795,5
phistar_50_76,"three_neg_(2,3)",0.7244591346153846,0.028797611448688,0.729657451923077,0.5709134615384616,0.028797611448688,5
