alpha,odd_even_raw,odd_even_evenproj,odd_even_contracted,norm_raw,norm_contracted
9.999999999999999547e-07,4.396736853742951728e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.845790278184629152e+00,2.843327524637752290e+00
1.000000000000000082e-05,4.396736853742951728e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.845790278184629152e+00,2.843311190054878423e+00
1.000000000000000048e-04,4.396736853742951728e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.845790278184629152e+00,2.843147940068774471e+00
1.000000000000000021e-03,4.396736853742951728e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.845790278184629152e+00,2.841524968615275704e+00
1.000000000000000021e-02,4.396736853742951728e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.845790278184629152e+00,2.826196046632029280e+00
1.000000000000000056e-01,4.396736853742951728e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.845790278184629152e+00,2.730847668533284534e+00
1.000000000000000000e+00,4.396736853742951728e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.845790278184629152e+00,2.618897853475886439e+00
1.000000000000000000e+01,4.396736853742951728e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.845790278184629152e+00,2.609305299234786268e+00
1.000000000000000000e+02,4.396736853742951728e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.845790278184629152e+00,2.609161741701932158e+00
1.000000000000000000e+03,4.396736853742951728e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.845790278184629152e+00,2.609160240313106449e+00
