lens,entropy_nats,nzfrac,var,fliprate
0.000000000000000000e+00,1.028183859332925776e+00,8.333333333333333703e-01,8.333333333333333703e-01,2.727272727272727071e-01
1.000000000000000000e+00,1.028183859332925776e+00,5.833333333333333703e-01,5.208333333333333703e-01,2.727272727272727071e-01
2.000000000000000000e+00,1.077556327066800712e+00,7.500000000000000000e-01,7.430555555555553582e-01,2.727272727272727071e-01
3.000000000000000000e+00,1.028183859332925776e+00,8.333333333333333703e-01,8.333333333333333703e-01,5.454545454545454142e-01
4.000000000000000000e+00,1.028183859332925776e+00,8.333333333333333703e-01,8.333333333333333703e-01,4.545454545454545303e-01
5.000000000000000000e+00,1.077556327066800712e+00,7.500000000000000000e-01,7.430555555555553582e-01,8.181818181818182323e-01
6.000000000000000000e+00,6.791932659915256298e-01,4.166666666666666852e-01,2.430555555555555525e-01,7.272727272727272929e-01
7.000000000000000000e+00,1.028183859332925776e+00,8.333333333333333703e-01,8.333333333333333703e-01,1.818181818181818232e-01
8.000000000000000000e+00,1.028183859332925776e+00,8.333333333333333703e-01,8.333333333333333703e-01,4.545454545454545303e-01
9.000000000000000000e+00,1.028183859332925776e+00,8.333333333333333703e-01,8.333333333333333703e-01,4.545454545454545303e-01
