alpha,odd_even_raw,odd_even_evenproj,odd_even_contracted,norm_raw,norm_contracted
9.999999999999999547e-07,2.268389974360306149e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.507139048301056050e+00,5.361751605275068222e+00
1.000000000000000082e-05,2.268389974360306149e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.507139048301056050e+00,5.361751206074039544e+00
1.000000000000000048e-04,2.268389974360306149e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.507139048301056050e+00,5.361747216432127594e+00
1.000000000000000021e-03,2.268389974360306149e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.507139048301056050e+00,5.361707555595908836e+00
1.000000000000000021e-02,2.268389974360306149e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.507139048301056050e+00,5.361333310761219550e+00
1.000000000000000056e-01,2.268389974360306149e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.507139048301056050e+00,5.359035129105946815e+00
1.000000000000000000e+00,2.268389974360306149e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.507139048301056050e+00,5.356425973270882324e+00
1.000000000000000000e+01,2.268389974360306149e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.507139048301056050e+00,5.356207257116004428e+00
1.000000000000000000e+02,2.268389974360306149e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.507139048301056050e+00,5.356203989691493028e+00
1.000000000000000000e+03,2.268389974360306149e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.507139048301056050e+00,5.356203955519990956e+00
