label,T,iter_min,iter_max,d0,d_end,ratio_median,ratio_q10,ratio_q90,b0_final,b0_iter0,b1_final,b1_iter0,b2_final,b2_iter0,b3_final,b3_iter0,b4_final,b4_iter0,chi2_dof_final,odd_even_ratio_final,R_E_hi_final,condA_final
pTll_106_170,13,0,12,6.763918506104636,0.0,0.9908100136321321,0.11867214729557557,1.0000125723620934,-0.0065420975272689,-5.342394503018263,-7.208375291531558e-15,-0.0022366698368646,-0.0091917833316135,-4.084238809829402,-4.6072553173027675e-17,-3.2836743307914225e-05,7.973358669079308e-06,0.820531825603113,11657.195530590032,6.389289331901231e-13,4.994538957898837e-07,80874030622909.89
pTll_170_350,13,0,12,7.285911221254168,0.0,0.9731060350863517,0.11179077249073621,0.9999956474521885,-0.0034949283915524,-6.706021266308082,-3.833077556787858e-15,-0.0002398658288026,-0.0052598309663283,-2.829082254240585,-6.114489951182532e-17,-4.371799799738812e-06,-1.7885838548362748e-05,0.4320352101941125,36633.615515079495,6.070460723741335e-13,8.02157560266866e-06,81421211892014.11
pTll_50_76,13,0,12,6.1321896738749135,0.0,0.9929572548771748,0.11293183899787154,1.000006290955799,-0.0072801998477716,-4.960216018356065,-4.407407326080879e-15,-0.002546144634237,-0.0042422278706473,-3.5029144517726007,9.723102712170884e-18,-2.0131615128889917e-05,8.25773747005184e-06,0.9118542757442828,8780.988256653884,5.230721167784433e-13,9.604553988405688e-07,82527670316900.9
pTll_76_106,13,0,12,5.669265966127547,0.0,1.0000477275806499,0.18637575172256543,1.0122773526159952,0.0105198749319924,-0.4801320812853331,-3.9356344934084825e-14,-0.0201701036200955,-0.0471311557508185,-5.456720989110257,-1.762098709460129e-16,-5.170231221459464e-05,0.0001483927100754,1.6236533208249404,14534.756429088664,8.149885744154092e-13,9.442653460632942e-06,80764680542530.23
phistar_50_76,13,0,12,8.54424031755728,0.0,0.9982489470717439,0.1498545770533757,1.0010288879032518,0.0288558725638054,8.551363132769632,-1.2820034410616772e-13,-0.0663895396962039,0.0215120108345224,0.5859403581292133,2.419734583731516e-17,-1.9317374391744272e-05,1.950931444410251e-05,-0.2188998213219856,37885.49133124789,3.561906346119336e-12,2.938128188242772e-07,80724568666244.7
