iter,n,best_deg,best_bic,best_chi2dof,JB,JB_p,skew,excess_kurt,outlier_frac_gt3,R_hi_deg4,odd_even_ratio_raw_deg4,odd_even_ratio_evenproj_deg4
0,6,4,42.99324455050206,34.03444720436179,0.5831290941125333,0.964919851639744,-0.7183037864563895,-0.5183387482137407,0.16666666666666666,0.06286779750877385,1.888426379195087,0.02072444107426997
1,6,4,9.470875416162974,0.5120780700226993,0.15619654485224624,0.9971045576133231,-0.2069720768300814,-0.6733768759465657,0.0,0.05884551559987688,1.0349702617710133,0.01702617253424502
2,6,4,37.63221934755498,28.673422001414707,0.4333084455876286,0.9796601317933561,0.5799996464141741,-0.6226037447592541,0.16666666666666666,0.04554345573347903,0.5296896113132763,0.0006295518469468915
3,6,4,125.60295003163252,116.64415268549224,0.5913873831498854,0.9640159193367727,0.7435034118204443,-0.39288705634695686,0.5,0.03265014857565118,0.28030389905219794,0.00011579220471415839
4,6,4,292.23962517236856,283.2808278262283,0.6818231334199165,0.9535514365884016,0.8200972827289413,-0.1924949898623174,0.5,0.022663980841834862,0.18876939295263045,1.589385737444364e-05
5,6,4,452.0199379708323,443.06114062469203,0.4541019849719424,0.9778125744765338,0.644401965616079,-0.3941983849894677,0.5,0.01604926208486725,0.15439329612749567,1.97026063271508e-06
6,6,4,656.8531170751219,647.8943197289816,0.3611835613829304,0.9855297561655392,0.5462829792772615,-0.5010328050532795,0.5,0.011277827961910937,0.16903973631312383,2.3059461464830344e-07
7,6,4,849.2442911462173,840.285493800077,0.2799918356349212,0.9910688851914703,0.4216708532001997,-0.6393294211792129,0.5,0.00793175576679917,0.20165570726196258,2.5721703788538657e-08
8,6,4,1029.4867323937483,1020.527935047608,0.24135864711929017,0.9932784084060777,0.30854444358639554,-0.7646148663248753,0.5,0.005475926499711148,0.2460258009664095,2.197474941766347e-09
9,6,4,1180.7179820687657,1171.7591847226254,0.2355909149988383,0.9935836200052789,0.1958589475609582,-0.8882121090351158,0.5,0.0037184640548726965,0.2934527812739684,6.678389569012551e-10
10,6,4,1302.8369424970952,1293.8781451509549,0.2592417804429165,0.9922910583201272,0.08603535467272913,-1.0036726521914487,0.5,0.0024755400968211982,0.33955400346055026,1.280357016891754e-09
