iter,n,best_deg,best_bic,best_chi2dof,JB,JB_p,skew,excess_kurt,outlier_frac_gt3,R_hi_deg4,odd_even_ratio_raw_deg4,odd_even_ratio_evenproj_deg4
0,12,4,591.5420513918716,82.7310740204188,0.6411735997709929,0.9583802906304871,-0.3863889226894127,-0.8277448889806847,0.6666666666666666,0.08415196339555213,1.6371157261421039,3.808276683614425e-09
1,12,4,2075.8317092738484,294.7724537178441,0.3262887063152895,0.9880545542071445,0.21965463511709635,-0.677926823275846,0.8333333333333334,0.06363720941953911,0.07227517674479343,3.1210813515852217e-10
2,12,4,3687.7576233262293,525.0475842967556,1.166886108686777,0.8835199296315881,-0.52246073517634,-1.1144107582797051,0.9166666666666666,0.05420661314155991,0.10053119651472157,1.5420642325252143e-09
3,6,4,625.997936760735,617.0391394145947,0.1990404356150256,0.9953644785675075,0.3379567900921228,-0.5824968451267507,0.8333333333333334,0.0871712002296351,1.6103705486708295,0.006042934089918699
4,6,4,323.1243736993503,314.16557635321004,0.17663713177453988,0.9963221192504155,-0.35152460045442985,-0.460728063177807,0.6666666666666666,0.07461698373798722,0.7951671444762,0.0006363753408956975
5,6,4,153.6192324092161,144.66043506307582,0.06882488516186695,0.9994213021230156,-0.01891789487251835,-0.5233239853683731,0.5,0.062249327920139125,0.4078376175841157,0.00020878111436898323
6,6,4,15.105483068569008,6.146685722428733,0.09283124203322624,0.9989555547473459,-0.16977245065104268,-0.5059982491399175,0.0,0.04580653694415045,0.15814503743425765,3.320215981936831e-05
7,6,4,89.33325008248362,80.37445273634334,0.10497118090677687,0.9986698906273237,0.13890874527999258,-0.5854076917551221,0.5,0.03391601404864676,0.07365260840354974,4.436466424635058e-06
8,6,4,486.5885332401805,477.6297358940402,0.10468999939968163,0.9986768834273205,0.12543727925441978,-0.5965081336341704,0.5,0.025420734342897964,0.048771903255178356,5.448813958845329e-07
9,6,4,1352.811246510581,1343.8524491644407,0.06935386196207238,0.9994124756895878,-0.009278967586295485,-0.526375389708162,0.5,0.019079523755093343,0.05407322831621205,5.9385534448988234e-08
10,6,4,2629.644620189345,2620.6858228432047,0.09104974353023332,0.998994662878496,-0.19528778568774902,-0.46005401548691705,0.6666666666666666,0.014528045318455082,0.0883137066041595,3.320265607125504e-10
