Z,n_upper,l_upper,degeneracy_upper,n_lower,l_lower,degeneracy_lower,delta_energy_eV,wavelength,wavelength_unit,frequency_THz,angular_frequency_rad_s,wavenumber_cm-1,oscillator_strength
2,2,1,3,1,0,1,40.817079027,303.7556860724557,angstrom,9869.525798061592,6.201205948321047e+16,329211.94428652345,0.25
2,3,1,3,1,0,1,48.375797365333334,256.2938601236345,angstrom,11697.215760665593,7.349577420232354e+16,390177.1191543982,0.14814814814814814
2,3,0,1,2,1,3,7.558718338333333,1640.2807047912609,angstrom,1827.6899626039985,1.148371471911305e+16,60965.17486787471,0.07407407407407407
2,3,1,3,2,0,1,7.558718338333333,1640.2807047912609,angstrom,1827.6899626039985,1.148371471911305e+16,60965.17486787471,0.07407407407407407
2,3,2,5,2,1,3,7.558718338333333,1640.2807047912609,angstrom,1827.6899626039985,1.148371471911305e+16,60965.17486787471,0.14814814814814814
2,4,1,3,1,0,1,51.02134878375,243.00454885796452,angstrom,12336.907247576992,7.75150743540131e+16,411514.9303581544,0.09375
2,4,0,1,2,1,3,10.20426975675,1215.0227442898229,angstrom,2467.381449515398,1.5503014870802618e+16,82302.98607163086,0.0625
2,4,1,3,2,0,1,10.20426975675,1215.0227442898229,angstrom,2467.381449515398,1.5503014870802618e+16,82302.98607163086,0.0625
2,4,2,5,2,1,3,10.20426975675,1215.0227442898229,angstrom,2467.381449515398,1.5503014870802618e+16,82302.98607163086,0.125
2,4,0,1,3,1,3,2.645551418416667,4686.516299403601,angstrom,639.6914869113996,4019300151689568.5,21337.811203756155,0.03125
2,4,1,3,3,0,1,2.645551418416667,4686.516299403601,angstrom,639.6914869113996,4019300151689568.5,21337.811203756155,0.03125
2,4,1,3,3,2,5,2.645551418416667,4686.516299403601,angstrom,639.6914869113996,4019300151689568.5,21337.811203756155,0.0625
2,4,2,5,3,1,3,2.645551418416667,4686.516299403601,angstrom,639.6914869113996,4019300151689568.5,21337.811203756155,0.0625
2,4,3,7,3,2,5,2.645551418416667,4686.516299403601,angstrom,639.6914869113996,4019300151689568.5,21337.811203756155,0.09375
2,5,1,3,1,0,1,52.24586115456,237.30912974410603,angstrom,12632.993021518838,7.93754361385094e+16,421391.28868675,0.064
2,5,0,1,2,1,3,11.42878212756,1084.841735973056,angstrom,2763.467223457246,1.7363376655298934e+16,92179.34440022656,0.048
2,5,1,3,2,0,1,11.42878212756,1084.841735973056,angstrom,2763.467223457246,1.7363376655298934e+16,92179.34440022656,0.048
2,5,2,5,2,1,3,11.42878212756,1084.841735973056,angstrom,2763.467223457246,1.7363376655298934e+16,92179.34440022656,0.096
2,5,0,1,3,1,3,3.8700637892266667,3203.6732515454305,angstrom,935.7772608532475,5879661936185884.0,31214.169532351865,0.032
2,5,1,3,3,0,1,3.8700637892266667,3203.6732515454305,angstrom,935.7772608532475,5879661936185884.0,31214.169532351865,0.032
2,5,1,3,3,2,5,3.8700637892266667,3203.6732515454305,angstrom,935.7772608532475,5879661936185884.0,31214.169532351865,0.064
2,5,2,5,3,1,3,3.8700637892266667,3203.6732515454305,angstrom,935.7772608532475,5879661936185884.0,31214.169532351865,0.064
2,5,3,7,3,2,5,3.8700637892266667,3203.6732515454305,angstrom,935.7772608532475,5879661936185884.0,31214.169532351865,0.096
2,5,0,1,4,1,3,1.2245123708099999,10125.189535748523,angstrom,296.0857739418478,1860361784496314.2,9876.358328595703,0.016
2,5,1,3,4,0,1,1.2245123708099999,10125.189535748523,angstrom,296.0857739418478,1860361784496314.2,9876.358328595703,0.016
2,5,1,3,4,2,5,1.2245123708099999,10125.189535748523,angstrom,296.0857739418478,1860361784496314.2,9876.358328595703,0.032
2,5,2,5,4,1,3,1.2245123708099999,10125.189535748523,angstrom,296.0857739418478,1860361784496314.2,9876.358328595703,0.032
2,5,2,5,4,3,7,1.2245123708099999,10125.189535748523,angstrom,296.0857739418478,1860361784496314.2,9876.358328595703,0.048
2,5,3,7,4,2,5,1.2245123708099999,10125.189535748523,angstrom,296.0857739418478,1860361784496314.2,9876.358328595703,0.048
