Z,n_upper,l_upper,degeneracy_upper,n_lower,l_lower,degeneracy_lower,delta_energy_eV,wavelength,wavelength_unit,frequency_THz,angular_frequency_rad_s,wavenumber_cm-1,oscillator_strength
1,2,1,3,1,0,1,10.20426975675,1215.0227442898229,angstrom,2467.381449515398,1.5503014870802618e+16,82302.98607163086,0.25
1,3,1,3,1,0,1,12.093949341333333,1025.175440494538,angstrom,2924.303940166398,1.8373943550580884e+16,97544.27978859955,0.14814814814814814
1,3,0,1,2,1,3,1.8896795845833332,6561.122819165043,angstrom,456.92249065099963,2870928679778262.5,15241.293716968677,0.07407407407407407
1,3,1,3,2,0,1,1.8896795845833332,6561.122819165043,angstrom,456.92249065099963,2870928679778262.5,15241.293716968677,0.07407407407407407
1,3,2,5,2,1,3,1.8896795845833332,6561.122819165043,angstrom,456.92249065099963,2870928679778262.5,15241.293716968677,0.14814814814814814
1,4,1,3,1,0,1,12.7553371959375,972.0181954318581,angstrom,3084.226811894248,1.9378768588503276e+16,102878.7325895386,0.09375
1,4,0,1,2,1,3,2.5510674391875,4860.0909771592915,angstrom,616.8453623788495,3875753717700654.5,20575.746517907715,0.0625
1,4,1,3,2,0,1,2.5510674391875,4860.0909771592915,angstrom,616.8453623788495,3875753717700654.5,20575.746517907715,0.0625
1,4,2,5,2,1,3,2.5510674391875,4860.0909771592915,angstrom,616.8453623788495,3875753717700654.5,20575.746517907715,0.125
1,4,0,1,3,1,3,0.6613878546041667,18746.065197614404,angstrom,159.9228717278499,1004825037922392.1,5334.452800939039,0.03125
1,4,1,3,3,0,1,0.6613878546041667,18746.065197614404,angstrom,159.9228717278499,1004825037922392.1,5334.452800939039,0.03125
1,4,1,3,3,2,5,0.6613878546041667,18746.065197614404,angstrom,159.9228717278499,1004825037922392.1,5334.452800939039,0.0625
1,4,2,5,3,1,3,0.6613878546041667,18746.065197614404,angstrom,159.9228717278499,1004825037922392.1,5334.452800939039,0.0625
1,4,3,7,3,2,5,0.6613878546041667,18746.065197614404,angstrom,159.9228717278499,1004825037922392.1,5334.452800939039,0.09375
1,5,1,3,1,0,1,13.06146528864,949.2365189764241,angstrom,3158.2482553797095,1.984385903462735e+16,105347.8221716875,0.064
1,5,0,1,2,1,3,2.85719553189,4339.366943892224,angstrom,690.8668058643115,4340844163824733.5,23044.83610005664,0.048
1,5,1,3,2,0,1,2.85719553189,4339.366943892224,angstrom,690.8668058643115,4340844163824733.5,23044.83610005664,0.048
1,5,2,5,2,1,3,2.85719553189,4339.366943892224,angstrom,690.8668058643115,4340844163824733.5,23044.83610005664,0.096
1,5,0,1,3,1,3,0.9675159473066667,12814.693006181722,angstrom,233.94431521331188,1469915484046471.0,7803.542383087966,0.032
1,5,1,3,3,0,1,0.9675159473066667,12814.693006181722,angstrom,233.94431521331188,1469915484046471.0,7803.542383087966,0.032
1,5,1,3,3,2,5,0.9675159473066667,12814.693006181722,angstrom,233.94431521331188,1469915484046471.0,7803.542383087966,0.064
1,5,2,5,3,1,3,0.9675159473066667,12814.693006181722,angstrom,233.94431521331188,1469915484046471.0,7803.542383087966,0.064
1,5,3,7,3,2,5,0.9675159473066667,12814.693006181722,angstrom,233.94431521331188,1469915484046471.0,7803.542383087966,0.096
1,5,0,1,4,1,3,0.30612809270249997,40500.75814299409,angstrom,74.02144348546194,465090446124078.56,2469.0895821489257,0.016
1,5,1,3,4,0,1,0.30612809270249997,40500.75814299409,angstrom,74.02144348546194,465090446124078.56,2469.0895821489257,0.016
1,5,1,3,4,2,5,0.30612809270249997,40500.75814299409,angstrom,74.02144348546194,465090446124078.56,2469.0895821489257,0.032
1,5,2,5,4,1,3,0.30612809270249997,40500.75814299409,angstrom,74.02144348546194,465090446124078.56,2469.0895821489257,0.032
1,5,2,5,4,3,7,0.30612809270249997,40500.75814299409,angstrom,74.02144348546194,465090446124078.56,2469.0895821489257,0.048
1,5,3,7,4,2,5,0.30612809270249997,40500.75814299409,angstrom,74.02144348546194,465090446124078.56,2469.0895821489257,0.048
