bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
0.000000000000000000e+00,6.165866896979679268e-01,9.925228700781344449e-01,-8.485044304430775508e-01,-5.879261382626258525e-01,9.720307738227577099e-01,0.000000000000000000e+00,9.999092042625951082e-01,-7.615172784689104857e-01,9.956802184949734569e-01,8.093291602132035578e-01
1.000000000000000000e+00,5.879261382622881227e-01,9.647500305896308248e-01,-8.485044304430775508e-01,-6.528871428380118580e-01,9.720307738227577099e-01,1.054304034218135899e-01,9.999092042625951082e-01,-5.879261382612548381e-01,9.999054886139914222e-01,5.879261382625057264e-01
2.000000000000000000e+00,4.032726624088741607e-01,5.229739469049176082e-01,-7.421142159977837105e-01,9.656589320791095776e-01,9.253385004155844085e-01,8.574485894146988141e-01,0.000000000000000000e+00,-3.282519484325182590e-01,9.995711656193974060e-01,3.134292588869939666e-01
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.879261382625519117e-01,-8.860054295215221698e-01,-5.879261382624989540e-01,6.221725509510440677e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,-4.438684392700712467e-01,-6.627485684080755557e-02,3.476054371036401691e-01,3.828029261109310855e-01,-5.490776336378055955e-01,-3.244856242993613415e-01,0.000000000000000000e+00,3.773078698546405985e-01,-3.408742161649294111e-01,-3.134292588869939666e-01
5.000000000000000000e+00,-8.356725538385519902e-01,-5.879261382622120724e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.879261382626258525e-01,9.999092042625951082e-01,7.459781276056711707e-01,-2.071088782292346275e-01,-5.879261382625057264e-01
6.000000000000000000e+00,-9.842586159479448371e-01,-7.905904522325996053e-01,0.000000000000000000e+00,3.569724615059884781e-02,0.000000000000000000e+00,-6.070773168099508066e-01,0.000000000000000000e+00,9.355150234473007531e-01,-5.879261382622299470e-01,-8.093291602132035578e-01
